Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 17:38:41, Wednesday, April 30, 2025	0.031	1193.5	1089.0	-	91.2	0.0	447.9	520.1	478.5	539.0	83.8	1.8	1.7	174.2	687.7	273.7	-167.6	304.3	-148.7
17:38:41, Wednesday, April 30, 2025	0.203	1188.0	1089.0	-	91.7	0.0	448.3	519.9	407.0	451.0	84.2	1.7	1.7	174.2	687.7	274.1	-167.8	232.8	-236.7
17:38:41, Wednesday, April 30, 2025	0.375	1193.5	1083.5	-	90.8	0.0	448.7	520.4	445.5	539.0	83.9	1.7	1.7	174.2	687.7	274.5	-167.3	271.3	-148.7
17:38:41, Wednesday, April 30, 2025	0.547	1204.5	1089.0	-	90.4	0.0	448.5	520.3	445.5	533.5	83.6	1.7	1.7	174.2	687.7	274.3	-167.5	271.3	-154.2
17:38:41, Wednesday, April 30, 2025	0.719	1193.5	1083.5	-	90.8	0.0	448.2	520.3	379.5	517.0	84.1	1.8	1.7	174.2	687.7	274.0	-167.4	205.3	-170.7
17:38:42, Wednesday, April 30, 2025	0.906	1193.5	1089.0	-	91.2	0.0	447.8	520.3	473.0	528.0	83.9	1.8	1.7	174.2	687.7	273.6	-167.5	298.8	-159.7
17:38:42, Wednesday, April 30, 2025	1.094	1193.5	1083.5	-	90.8	0.0	447.6	519.5	484.0	544.5	84.0	1.8	1.7	174.2	687.7	273.5	-168.2	309.8	-143.2
17:38:42, Wednesday, April 30, 2025	1.266	1193.5	1083.5	-	90.8	0.0	447.4	519.6	385.0	511.5	83.4	1.8	1.7	174.2	687.7	273.3	-168.2	210.8	-176.2
17:38:42, Wednesday, April 30, 2025	1.438	1188.0	1078.0	-	90.7	0.0	447.7	519.8	440.0	539.0	84.0	1.8	1.7	174.2	687.7	273.5	-168.0	265.8	-148.7
17:38:42, Wednesday, April 30, 2025	1.610	1193.5	1083.5	-	90.8	0.0	447.5	520.2	407.0	456.5	83.8	1.7	1.7	174.2	687.7	273.3	-167.6	232.8	-231.2
17:38:42, Wednesday, April 30, 2025	1.766	1193.5	1094.5	-	91.7	0.0	447.7	520.1	385.0	517.0	84.0	1.7	1.7	174.2	687.7	273.5	-167.6	210.8	-170.7
17:38:43, Wednesday, April 30, 2025	1.938	1193.5	1083.5	-	90.8	0.0	447.2	520.4	478.5	550.0	83.6	1.7	1.7	174.2	687.7	273.0	-167.4	304.3	-137.7
17:38:43, Wednesday, April 30, 2025	2.110	1188.0	1078.0	-	90.7	0.0	447.1	520.9	407.0	456.5	83.9	1.7	1.7	174.2	687.7	272.9	-166.8	232.8	-231.2
17:38:43, Wednesday, April 30, 2025	2.281	1193.5	1078.0	-	90.3	0.0	447.9	521.0	407.0	451.0	84.0	1.8	1.7	174.2	687.7	273.7	-166.7	232.8	-236.7
17:38:43, Wednesday, April 30, 2025	2.438	1182.5	1083.5	-	91.6	0.0	448.3	520.5	440.0	561.0	84.1	1.7	1.7	174.2	687.7	274.2	-167.2	265.8	-126.7
17:38:43, Wednesday, April 30, 2025	2.610	1204.5	1089.0	-	90.4	0.0	449.1	520.2	473.0	533.5	84.0	1.7	1.7	174.2	687.7	274.9	-167.6	298.8	-154.2
17:38:43, Wednesday, April 30, 2025	2.797	1193.5	1089.0	-	91.2	0.0	448.9	520.5	440.0	550.0	83.6	1.7	1.7	174.2	687.7	274.7	-167.2	265.8	-137.7
17:38:44, Wednesday, April 30, 2025	2.953	1182.5	1078.0	-	91.2	0.0	448.6	521.2	407.0	456.5	83.7	1.7	1.7	174.2	687.7	274.4	-166.5	232.8	-231.2
17:38:44, Wednesday, April 30, 2025	3.125	1193.5	1089.0	-	91.2	0.0	448.8	521.0	401.5	451.0	83.5	1.7	1.7	174.2	687.7	274.6	-166.7	227.3	-236.7
17:38:44, Wednesday, April 30, 2025	3.297	1204.5	1083.5	-	90.0	0.0	449.0	520.4	478.5	544.5	84.2	1.8	1.7	174.2	687.7	274.8	-167.4	304.3	-143.2
17:38:44, Wednesday, April 30, 2025	3.453	1193.5	1083.5	-	90.8	0.0	448.5	520.6	412.5	451.0	83.8	1.8	1.7	174.2	687.7	274.3	-167.2	238.3	-236.7
17:38:44, Wednesday, April 30, 2025	3.656	1199.0	1083.5	-	90.4	0.0	448.4	520.5	407.0	456.5	84.3	1.7	1.7	174.2	687.7	274.2	-167.3	232.8	-231.2
17:38:44, Wednesday, April 30, 2025	3.813	1188.0	1078.0	-	90.7	0.0	448.4	519.7	478.5	544.5	84.0	1.7	1.7	174.2	687.7	274.2	-168.0	304.3	-143.2
17:38:45, Wednesday, April 30, 2025	3.969	1193.5	1089.0	-	91.2	0.0	447.8	519.6	484.0	544.5	83.9	1.7	1.7	174.2	687.7	273.6	-168.1	309.8	-143.2
17:38:45, Wednesday, April 30, 2025	4.156	1188.0	1078.0	-	90.7	0.0	447.0	519.7	434.5	533.5	83.8	1.7	1.8	174.2	687.7	272.8	-168.0	260.3	-154.2
17:38:45, Wednesday, April 30, 2025	4.297	1182.5	1083.5	-	91.6	0.0	446.3	520.3	412.5	451.0	84.1	1.7	1.7	174.2	687.7	272.1	-167.5	238.3	-236.7
17:38:45, Wednesday, April 30, 2025	4.485	1188.0	1089.0	-	91.7	0.0	445.9	520.4	478.5	544.5	84.1	1.8	1.8	174.2	687.7	271.7	-167.3	304.3	-143.2
17:38:45, Wednesday, April 30, 2025	4.641	1182.5	1089.0	-	92.1	0.0	445.6	519.4	462.0	478.5	84.1	1.7	1.7	174.2	687.7	271.4	-168.4	287.8	-209.2
