Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
14:52:18, Wednesday, April 23, 2025	5.360	2282.5	2035.0	-	89.2	0.0	1127.2	-680.5	1061.5	-594.0	84.2	1.8	1.8	174.2	687.7	953.1	-1368.3	887.3	-1281.7
14:52:18, Wednesday, April 23, 2025	5.563	2304.5	2040.5	-	88.5	0.0	1127.3	-680.6	1138.5	-737.0	84.2	1.8	1.8	174.2	687.7	953.1	-1368.3	964.3	-1424.7
14:52:18, Wednesday, April 23, 2025	5.750	2222.0	2051.5	-	92.3	0.0	1127.1	-680.4	1039.5	-605.0	84.6	1.8	1.8	174.2	687.7	952.9	-1368.2	865.3	-1292.7
14:52:18, Wednesday, April 23, 2025	5.938	2222.0	2040.5	-	91.8	0.0	1127.0	-679.9	1094.5	-572.0	84.4	1.8	1.8	174.2	687.7	952.9	-1367.7	920.3	-1259.7
14:52:18, Wednesday, April 23, 2025	6.141	2277.0	2024.0	-	88.9	0.0	1127.2	-680.4	1039.5	-599.5	84.3	1.8	1.8	174.2	687.7	953.1	-1368.1	865.3	-1287.2
14:52:19, Wednesday, April 23, 2025	6.360	2293.5	2035.0	-	88.7	0.0	1127.2	-680.2	1138.5	-671.0	84.0	1.9	1.8	174.2	687.7	953.1	-1367.9	964.3	-1358.7
14:52:19, Wednesday, April 23, 2025	6.563	2200.0	2035.0	-	92.5	0.0	1127.3	-680.9	1045.0	-599.5	84.8	1.8	1.8	174.2	687.7	953.2	-1368.6	870.8	-1287.2
14:52:19, Wednesday, April 23, 2025	6.766	2233.0	2040.5	-	91.4	0.0	1127.4	-680.1	1138.5	-676.5	84.3	1.8	1.8	174.2	687.7	953.2	-1367.8	964.3	-1364.2
14:52:19, Wednesday, April 23, 2025	6.985	2277.0	2068.0	-	90.8	0.0	1127.0	-680.0	1138.5	-676.5	83.9	1.8	1.8	174.2	687.7	952.8	-1367.7	964.3	-1364.2
14:52:19, Wednesday, April 23, 2025	7.172	2255.0	2051.5	-	91.0	0.0	1127.1	-680.8	1133.0	-676.5	84.1	1.8	1.8	174.2	687.7	952.9	-1368.5	958.8	-1364.2
