Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 16:04:18, Wednesday, April 02, 2025	0.516	1116.5	1177.0	-	94.9	0.0	1257.4	216.2	1226.5	269.5	86.6	1.7	1.7	0.0	0.0	1257.4	216.2	1226.5	269.5
16:04:18, Wednesday, April 02, 2025	1.156	1127.5	1182.5	-	95.3	0.0	1257.4	221.1	1226.5	264.0	86.1	1.7	1.7	0.0	0.0	1257.4	221.1	1226.5	264.0
16:04:19, Wednesday, April 02, 2025	1.844	1122.0	1182.5	-	94.9	0.0	1261.5	229.2	1232.0	275.0	85.9	1.7	1.7	0.0	0.0	1261.5	229.2	1232.0	275.0
16:04:20, Wednesday, April 02, 2025	2.485	1127.5	1177.0	-	95.8	0.0	1257.1	221.0	1237.5	264.0	86.1	1.7	1.7	0.0	0.0	1257.1	221.0	1237.5	264.0
16:04:20, Wednesday, April 02, 2025	3.078	1127.5	1182.5	-	95.3	0.0	1262.3	224.7	1237.5	280.5	85.9	1.7	1.7	0.0	0.0	1262.3	224.7	1237.5	280.5
16:04:21, Wednesday, April 02, 2025	3.688	1127.5	1182.5	-	95.3	0.0	1257.8	225.4	1226.5	269.5	86.0	1.7	1.7	0.0	0.0	1257.8	225.4	1226.5	269.5
16:04:22, Wednesday, April 02, 2025	4.297	1122.0	1182.5	-	94.9	0.0	1257.9	223.7	1237.5	280.5	86.1	1.7	1.7	0.0	0.0	1257.9	223.7	1237.5	280.5
16:04:22, Wednesday, April 02, 2025	4.938	1122.0	1177.0	-	95.3	0.0	1260.5	217.7	1226.5	264.0	85.9	1.7	1.7	0.0	0.0	1260.5	217.7	1226.5	264.0
16:04:23, Wednesday, April 02, 2025	5.547	1122.0	1182.5	-	94.9	0.0	1258.8	225.7	1237.5	280.5	85.9	1.7	1.7	0.0	0.0	1258.8	225.7	1237.5	280.5
16:04:23, Wednesday, April 02, 2025	6.141	1116.5	1177.0	-	94.9	0.0	1262.1	223.3	1243.0	280.5	86.1	1.7	1.7	0.0	0.0	1262.1	223.3	1243.0	280.5
16:04:24, Wednesday, April 02, 2025	6.735	1116.5	1182.5	-	94.4	0.0	1262.8	224.1	1237.5	280.5	86.0	1.7	1.7	0.0	0.0	1262.8	224.1	1237.5	280.5
16:04:25, Wednesday, April 02, 2025	7.328	1122.0	1177.0	-	95.3	0.0	1255.9	222.5	1237.5	264.0	86.2	1.7	1.7	0.0	0.0	1255.9	222.5	1237.5	264.0
16:04:25, Wednesday, April 02, 2025	7.906	1122.0	1182.5	-	94.9	0.0	1256.6	231.6	1243.0	269.5	86.1	1.7	1.7	0.0	0.0	1256.6	231.6	1243.0	269.5
16:04:26, Wednesday, April 02, 2025	8.500	1122.0	1182.5	-	94.9	0.0	1257.2	225.4	1237.5	264.0	86.4	1.7	1.7	0.0	0.0	1257.2	225.4	1237.5	264.0
16:04:26, Wednesday, April 02, 2025	9.078	1127.5	1182.5	-	95.3	0.0	1262.6	224.3	1232.0	264.0	86.1	1.7	1.7	0.0	0.0	1262.6	224.3	1232.0	264.0
16:04:27, Wednesday, April 02, 2025	9.672	1122.0	1182.5	-	94.9	0.0	1261.1	226.9	1237.5	280.5	86.0	1.7	1.7	0.0	0.0	1261.1	226.9	1237.5	280.5
16:04:28, Wednesday, April 02, 2025	10.281	1127.5	1182.5	-	95.3	0.0	1261.6	223.1	1254.0	275.0	85.7	1.7	1.7	0.0	0.0	1261.6	223.1	1254.0	275.0
16:04:28, Wednesday, April 02, 2025	10.860	1127.5	1182.5	-	95.3	0.0	1263.2	224.3	1232.0	275.0	86.0	1.7	1.7	0.0	0.0	1263.2	224.3	1232.0	275.0
16:04:29, Wednesday, April 02, 2025	11.469	1122.0	1182.5	-	94.9	0.0	1260.1	224.0	1248.5	269.5	85.8	1.7	1.7	0.0	0.0	1260.1	224.0	1248.5	269.5
16:04:29, Wednesday, April 02, 2025	12.078	1122.0	1177.0	-	95.3	0.0	1261.3	223.1	1237.5	280.5	86.3	1.7	1.7	0.0	0.0	1261.3	223.1	1237.5	280.5
16:04:30, Wednesday, April 02, 2025	12.672	1122.0	1182.5	-	94.9	0.0	1258.8	224.9	1248.5	280.5	86.3	1.7	1.7	0.0	0.0	1258.8	224.9	1248.5	280.5
16:04:31, Wednesday, April 02, 2025	13.266	1122.0	1188.0	-	94.4	0.0	1261.0	227.6	1248.5	280.5	86.0	1.7	1.7	0.0	0.0	1261.0	227.6	1248.5	280.5
16:04:31, Wednesday, April 02, 2025	13.828	1122.0	1182.5	-	94.9	0.0	1262.0	223.7	1237.5	264.0	85.7	1.7	1.7	0.0	0.0	1262.0	223.7	1237.5	264.0
16:04:32, Wednesday, April 02, 2025	14.422	1127.5	1182.5	-	95.3	0.0	1264.6	225.8	1232.0	269.5	85.8	1.7	1.7	0.0	0.0	1264.6	225.8	1232.0	269.5
16:04:32, Wednesday, April 02, 2025	15.000	1127.5	1182.5	-	95.3	0.0	1257.8	225.0	1226.5	264.0	86.2	1.7	1.7	0.0	0.0	1257.8	225.0	1226.5	264.0
16:04:33, Wednesday, April 02, 2025	15.594	1122.0	1182.5	-	94.9	0.0	1264.6	227.6	1232.0	275.0	86.1	1.7	1.7	0.0	0.0	1264.6	227.6	1232.0	275.0
16:04:33, Wednesday, April 02, 2025	16.172	1122.0	1182.5	-	94.9	0.0	1261.1	226.5	1237.5	280.5	85.9	1.7	1.7	0.0	0.0	1261.1	226.5	1237.5	280.5
16:04:34, Wednesday, April 02, 2025	16.813	1122.0	1182.5	-	94.9	0.0	1260.5	228.9	1254.0	280.5	85.8	1.7	1.7	0.0	0.0	1260.5	228.9	1254.0	280.5
16:04:35, Wednesday, April 02, 2025	17.406	1122.0	1182.5	-	94.9	0.0	1261.9	224.3	1232.0	275.0	86.1	1.7	1.7	0.0	0.0	1261.9	224.3	1232.0	275.0
16:04:35, Wednesday, April 02, 2025	18.016	1122.0	1177.0	-	95.3	0.0	1260.4	223.3	1237.5	280.5	86.1	1.7	1.7	0.0	0.0	1260.4	223.3	1237.5	280.5
16:04:36, Wednesday, April 02, 2025	18.610	1122.0	1177.0	-	95.3	0.0	1261.1	222.2	1237.5	264.0	85.9	1.7	1.7	0.0	0.0	1261.1	222.2	1237.5	264.0
16:04:37, Wednesday, April 02, 2025	19.219	1122.0	1182.5	-	94.9	0.0	1261.6	221.4	1232.0	264.0	86.0	1.7	1.7	0.0	0.0	1261.6	221.4	1232.0	264.0
16:04:37, Wednesday, April 02, 2025	19.797	1122.0	1182.5	-	94.9	0.0	1259.6	224.2	1237.5	280.5	85.9	1.7	1.7	0.0	0.0	1259.6	224.2	1237.5	280.5
16:04:38, Wednesday, April 02, 2025	20.406	1122.0	1182.5	-	94.9	0.0	1260.3	223.0	1248.5	280.5	86.1	1.7	1.7	0.0	0.0	1260.3	223.0	1248.5	280.5
16:04:38, Wednesday, April 02, 2025	20.969	1122.0	1177.0	-	95.3	0.0	1260.5	223.0	1237.5	264.0	86.0	1.7	1.7	0.0	0.0	1260.5	223.0	1237.5	264.0
16:04:39, Wednesday, April 02, 2025	21.563	1122.0	1182.5	-	94.9	0.0	1260.1	224.3	1237.5	280.5	86.1	1.7	1.7	0.0	0.0	1260.1	224.3	1237.5	280.5
16:04:39, Wednesday, April 02, 2025	22.156	1122.0	1182.5	-	94.9	0.0	1259.6	223.6	1237.5	280.5	86.2	1.7	1.7	0.0	0.0	1259.6	223.6	1237.5	280.5
16:04:40, Wednesday, April 02, 2025	22.735	1122.0	1182.5	-	94.9	0.0	1257.8	224.4	1243.0	280.5	86.2	1.7	1.7	0.0	0.0	1257.8	224.4	1243.0	280.5
16:04:41, Wednesday, April 02, 2025	23.344	1122.0	1182.5	-	94.9	0.0	1260.0	223.8	1226.5	269.5	86.1	1.7	1.7	0.0	0.0	1260.0	223.8	1226.5	269.5
16:04:41, Wednesday, April 02, 2025	23.938	1122.0	1177.0	-	95.3	0.0	1260.1	222.2	1232.0	264.0	86.1	1.7	1.7	0.0	0.0	1260.1	222.2	1232.0	264.0
16:04:42, Wednesday, April 02, 2025	24.563	1122.0	1177.0	-	95.3	0.0	1259.3	221.6	1248.5	269.5	86.0	1.7	1.7	0.0	0.0	1259.3	221.6	1248.5	269.5
16:04:42, Wednesday, April 02, 2025	25.156	1122.0	1177.0	-	95.3	0.0	1261.0	220.9	1248.5	269.5	85.9	1.7	1.7	0.0	0.0	1261.0	220.9	1248.5	269.5
16:04:43, Wednesday, April 02, 2025	25.735	1122.0	1182.5	-	94.9	0.0	1259.4	223.8	1248.5	280.5	85.9	1.7	1.7	0.0	0.0	1259.4	223.8	1248.5	280.5
16:04:44, Wednesday, April 02, 2025	26.313	1122.0	1182.5	-	94.9	0.0	1261.1	224.3	1248.5	280.5	85.7	1.7	1.7	0.0	0.0	1261.1	224.3	1248.5	280.5
16:04:44, Wednesday, April 02, 2025	26.906	1122.0	1177.0	-	95.3	0.0	1260.9	222.7	1232.0	275.0	86.1	1.7	1.7	0.0	0.0	1260.9	222.7	1232.0	275.0
16:04:45, Wednesday, April 02, 2025	27.500	1122.0	1182.5	-	94.9	0.0	1266.0	224.3	1248.5	269.5	85.8	1.7	1.7	0.0	0.0	1266.0	224.3	1248.5	269.5
16:04:45, Wednesday, April 02, 2025	28.094	1122.0	1177.0	-	95.3	0.0	1266.6	228.3	1243.0	286.0	86.3	1.7	1.7	0.0	0.0	1266.6	228.3	1243.0	286.0
16:04:46, Wednesday, April 02, 2025	28.719	1122.0	1182.5	-	94.9	0.0	1265.3	226.0	1243.0	269.5	86.3	1.7	1.7	0.0	0.0	1265.3	226.0	1243.0	269.5
16:04:47, Wednesday, April 02, 2025	29.297	1122.0	1182.5	-	94.9	0.0	1267.1	224.1	1243.0	269.5	85.9	1.7	1.7	0.0	0.0	1267.1	224.1	1243.0	269.5
16:04:47, Wednesday, April 02, 2025	29.875	1116.5	1177.0	-	94.9	0.0	1268.2	223.1	1237.5	280.5	86.1	1.7	1.7	0.0	0.0	1268.2	223.1	1237.5	280.5
