Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 18:25:01, Wednesday, March 26, 2025	0.437	1133.0	1221.0	-	92.8	0.0	4010.8	582.7	3965.5	610.5	82.9	1.7	1.7	0.0	0.0	4010.8	582.7	3965.5	610.5
18:25:02, Wednesday, March 26, 2025	1.203	1127.5	1221.0	-	92.3	0.0	4010.9	581.2	3982.0	610.5	83.2	1.7	1.7	0.0	0.0	4010.9	581.2	3982.0	610.5
18:25:03, Wednesday, March 26, 2025	1.844	1122.0	1221.0	-	91.9	0.0	4023.9	580.8	3971.0	605.0	83.7	1.7	1.7	0.0	0.0	4023.9	580.8	3971.0	605.0
18:25:04, Wednesday, March 26, 2025	2.609	1127.5	1226.5	-	91.9	0.0	4006.6	587.0	3982.0	605.0	83.1	1.7	1.7	0.0	0.0	4006.6	587.0	3982.0	605.0
18:25:04, Wednesday, March 26, 2025	3.234	1133.0	1221.0	-	92.8	0.0	4017.8	583.6	4009.5	555.5	83.1	1.7	1.7	0.0	0.0	4017.8	583.6	4009.5	555.5
18:25:05, Wednesday, March 26, 2025	3.828	1133.0	1226.5	-	92.4	0.0	4009.6	592.8	3976.5	599.5	83.2	1.7	1.7	0.0	0.0	4009.6	592.8	3976.5	599.5
18:25:06, Wednesday, March 26, 2025	4.484	1122.0	1226.5	-	91.5	0.0	4004.3	590.3	3982.0	605.0	83.3	1.7	1.7	0.0	0.0	4004.3	590.3	3982.0	605.0
18:25:06, Wednesday, March 26, 2025	5.062	1127.5	1221.0	-	92.3	0.0	4015.1	589.7	3993.0	616.0	83.2	1.7	1.7	0.0	0.0	4015.1	589.7	3993.0	616.0
18:25:07, Wednesday, March 26, 2025	5.641	1133.0	1221.0	-	92.8	0.0	4010.2	582.0	3976.5	599.5	83.0	1.7	1.7	0.0	0.0	4010.2	582.0	3976.5	599.5
18:25:07, Wednesday, March 26, 2025	6.234	1133.0	1221.0	-	92.8	0.0	4009.1	579.2	3998.5	550.0	83.2	1.7	1.7	0.0	0.0	4009.1	579.2	3998.5	550.0
18:25:08, Wednesday, March 26, 2025	6.859	1127.5	1221.0	-	92.3	0.0	4011.5	583.1	3976.5	599.5	83.1	1.7	1.7	0.0	0.0	4011.5	583.1	3976.5	599.5
18:25:09, Wednesday, March 26, 2025	7.484	1133.0	1221.0	-	92.8	0.0	4009.2	583.8	3982.0	610.5	83.1	1.7	1.7	0.0	0.0	4009.2	583.8	3982.0	610.5
18:25:09, Wednesday, March 26, 2025	8.062	1127.5	1221.0	-	92.3	0.0	4011.5	583.8	3965.5	610.5	83.2	1.7	1.7	0.0	0.0	4011.5	583.8	3965.5	610.5
18:25:10, Wednesday, March 26, 2025	8.703	1127.5	1221.0	-	92.3	0.0	4011.4	583.2	4004.0	555.5	83.0	1.7	1.7	0.0	0.0	4011.4	583.2	4004.0	555.5
18:25:10, Wednesday, March 26, 2025	9.266	1133.0	1221.0	-	92.8	0.0	4010.5	582.4	3982.0	605.0	83.2	1.7	1.7	0.0	0.0	4010.5	582.4	3982.0	605.0
18:25:11, Wednesday, March 26, 2025	9.828	1133.0	1221.0	-	92.8	0.0	4011.2	582.3	3976.5	610.5	83.4	1.7	1.7	0.0	0.0	4011.2	582.3	3976.5	610.5
18:25:12, Wednesday, March 26, 2025	10.453	1127.5	1221.0	-	92.3	0.0	4011.7	582.1	3971.0	610.5	83.2	1.7	1.7	0.0	0.0	4011.7	582.1	3971.0	610.5
18:25:12, Wednesday, March 26, 2025	11.109	1127.5	1221.0	-	92.3	0.0	4010.4	581.6	3965.5	594.0	83.2	1.7	1.7	0.0	0.0	4010.4	581.6	3965.5	594.0
18:25:13, Wednesday, March 26, 2025	11.703	1133.0	1221.0	-	92.8	0.0	4010.4	581.7	3965.5	594.0	83.3	1.7	1.7	0.0	0.0	4010.4	581.7	3965.5	594.0
18:25:13, Wednesday, March 26, 2025	12.312	1133.0	1221.0	-	92.8	0.0	4011.8	581.4	3960.0	605.0	83.2	1.7	1.7	0.0	0.0	4011.8	581.4	3960.0	605.0
18:25:14, Wednesday, March 26, 2025	12.984	1133.0	1221.0	-	92.8	0.0	4011.4	582.6	3982.0	605.0	83.3	1.7	1.7	0.0	0.0	4011.4	582.6	3982.0	605.0
18:25:15, Wednesday, March 26, 2025	13.547	1133.0	1221.0	-	92.8	0.0	4010.3	583.0	3965.5	610.5	83.3	1.7	1.7	0.0	0.0	4010.3	583.0	3965.5	610.5
