x-axis,1,2
second,Volt,Volt
+53.8000E-03,,
+54.0500E-03,+3.8190955E+00,+312.2362E-03
+54.3000E-03,+3.8881910E+00,+308.5930E-03
+54.5500E-03,+3.9258794E+00,+306.1432E-03
+54.8000E-03,+4.0201005E+00,+299.5477E-03
+55.0500E-03,+4.0138191E+00,+282.0854E-03
+55.3000E-03,+4.0640704E+00,+248.5427E-03
+55.5500E-03,+4.0201005E+00,+161.5452E-03
+55.8000E-03,+3.9635679E+00,+36.7965E-03
+56.0500E-03,+4.0263819E+00,+127.1231E-03
+56.3000E-03,+4.1771357E+00,+232.6507E-03
+56.5500E-03,+4.0201005E+00,+274.9246E-03
+56.8000E-03,+4.0201005E+00,+294.0829E-03
+57.0500E-03,+4.2211056E+00,+304.1332E-03
+57.3000E-03,+4.0201005E+00,+309.7236E-03
+57.5500E-03,+4.0201005E+00,+314.1834E-03
+57.8000E-03,+4.2211056E+00,+314.7487E-03
+58.0500E-03,+4.2211056E+00,+318.1407E-03
+58.3000E-03,+4.2211056E+00,+317.7638E-03
+58.5500E-03,+4.2211056E+00,+318.3291E-03
+58.8000E-03,+4.2211056E+00,+319.6482E-03
+59.0500E-03,+4.2211056E+00,+320.2136E-03
+59.3000E-03,+4.2650754E+00,+320.2136E-03
+59.5500E-03,+4.2211056E+00,+322.2236E-03
+59.8000E-03,+4.2211056E+00,+322.2236E-03
+60.0500E-03,+4.4221106E+00,+320.2136E-03
+60.3000E-03,+4.4221106E+00,+320.2136E-03
+60.5500E-03,+4.3153267E+00,+322.2236E-03
+60.8000E-03,+4.4221106E+00,+322.2236E-03
+61.0500E-03,+4.6105528E+00,+320.2136E-03
+61.3000E-03,+4.4221106E+00,+322.6633E-03
+61.5500E-03,+4.7298995E+00,+323.2915E-03
+61.8000E-03,+4.4786433E+00,+320.2136E-03
+62.0500E-03,+4.6231156E+00,+322.2236E-03
+62.3000E-03,+4.6231156E+00,+320.6533E-03
+62.5500E-03,+4.5163317E+00,+321.2814E-03
+62.8000E-03,+4.6796483E+00,+322.2236E-03
+63.0500E-03,+4.6168342E+00,+322.2236E-03
+63.3000E-03,+4.6231156E+00,+320.6533E-03
+63.5500E-03,+4.7298995E+00,+323.2915E-03
+63.8000E-03,+4.6231156E+00,+320.7789E-03
+64.0500E-03,+4.8178392E+00,+322.1608E-03
+64.3000E-03,+4.6670855E+00,+323.7940E-03
+64.5500E-03,+4.6231156E+00,+323.2915E-03
+64.8000E-03,+4.8241206E+00,+321.3442E-03
+65.0500E-03,+4.6293970E+00,+322.2236E-03
