Software Version: 1.08.00
Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 10 pulse(s)
Total Duration: 0:0::30 (DD:HH:MM:SS)
Video Trigger: Not activated
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 
 15:37:52, Thursday, April 03, 2025	1.156	2574.0	2326.5	-	90.4	0.0	1829.9	-285.9	1798.5	-203.5	65.8	1.7	1.7
15:37:53, Thursday, April 03, 2025	2.453	2563.0	2332.0	-	91.0	0.0	1829.7	-286.1	1738.0	-385.0	66.1	1.8	1.7
15:37:54, Thursday, April 03, 2025	3.641	2557.5	2321.0	-	90.8	0.0	1829.8	-284.8	1864.5	-324.5	66.0	1.7	1.7
15:37:55, Thursday, April 03, 2025	4.828	2568.5	2343.0	-	91.2	0.0	1829.7	-285.8	1815.0	-275.0	66.2	1.7	1.8
15:37:56, Thursday, April 03, 2025	5.953	2552.0	2343.0	-	91.8	0.0	1829.6	-285.4	1776.5	-225.5	66.2	1.8	1.7
15:37:58, Thursday, April 03, 2025	7.203	2546.5	2348.5	-	92.2	0.0	1829.7	-285.0	1672.0	-269.5	65.7	1.7	1.7
15:37:59, Thursday, April 03, 2025	8.360	2541.0	2337.5	-	92.0	0.0	1829.7	-285.9	1809.5	-203.5	66.2	1.7	1.7
15:38:00, Thursday, April 03, 2025	9.469	2552.0	2337.5	-	91.6	0.0	1829.8	-285.6	1914.0	-231.0	66.3	1.7	1.7
15:38:01, Thursday, April 03, 2025	10.750	2563.0	2326.5	-	90.8	0.0	1829.6	-285.1	1798.5	-209.0	66.1	1.7	1.7
15:38:02, Thursday, April 03, 2025	11.953	2535.5	2354.0	-	92.8	0.0	1829.8	-284.6	1782.0	-214.5	66.2	1.7	1.7
15:38:04, Thursday, April 03, 2025	13.125	2557.5	2332.0	-	91.2	0.0	1829.9	-285.6	1754.5	-379.5	66.3	1.7	1.7
15:38:05, Thursday, April 03, 2025	14.375	2552.0	2337.5	-	91.6	0.0	1829.9	-284.9	1804.0	-203.5	66.1	1.7	1.7
15:38:06, Thursday, April 03, 2025	15.641	2546.5	2343.0	-	92.0	0.0	1829.6	-285.3	1870.0	-247.5	66.2	1.7	1.7
15:38:07, Thursday, April 03, 2025	16.953	2541.0	2326.5	-	91.6	0.0	1829.3	-285.1	1815.0	-203.5	66.0	1.7	1.8
15:38:09, Thursday, April 03, 2025	18.250	2552.0	2354.0	-	92.2	0.0	1829.9	-285.2	1809.5	-412.5	66.1	1.7	1.8
15:38:10, Thursday, April 03, 2025	19.500	2563.0	2321.0	-	90.6	0.0	1829.6	-284.8	1765.5	-231.0	66.0	1.8	1.8
15:38:11, Thursday, April 03, 2025	20.797	2541.0	2326.5	-	91.6	0.0	1829.8	-285.2	1809.5	-280.5	65.8	1.7	1.7
15:38:13, Thursday, April 03, 2025	22.094	2552.0	2326.5	-	91.2	0.0	1829.4	-285.6	1826.0	-275.0	65.9	1.7	1.7
15:38:14, Thursday, April 03, 2025	23.422	2535.5	2332.0	-	92.0	0.0	1829.6	-285.1	1804.0	-280.5	66.1	1.8	1.8
15:38:15, Thursday, April 03, 2025	24.703	2546.5	2326.5	-	91.4	0.0	1829.8	-285.5	1815.0	-286.0	66.0	1.7	1.8
15:38:16, Thursday, April 03, 2025	26.016	2541.0	2326.5	-	91.6	0.0	1829.6	-285.7	1793.0	-220.0	66.2	1.7	1.7
15:38:18, Thursday, April 03, 2025	27.328	2568.5	2332.0	-	90.8	0.0	1829.9	-286.0	1793.0	-220.0	66.0	1.7	1.8
15:38:19, Thursday, April 03, 2025	28.656	2552.0	2354.0	-	92.2	0.0	1829.7	-285.1	1760.0	-374.0	66.3	1.8	1.7
15:38:20, Thursday, April 03, 2025	30.000	2546.5	2332.0	-	91.6	0.0	1829.7	-285.1	1776.5	-220.0	66.1	1.7	1.7
