Software Version: 1.08.00
Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 10 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
Video Trigger: Not activated
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 16:20:14, Thursday, April 03, 2025	1.359	4394.5	3998.5	-	91.0	0.0	-43.3	-201.0	-33.0	-49.5	83.6	1.8	1.8	5632.0	5632.0	-5675.3	-5833.0	-5665.0	-5681.5
16:20:16, Thursday, April 03, 2025	2.718	4400.0	3943.5	-	89.6	0.0	-42.2	-201.0	-126.5	-297.0	84.0	1.8	1.8	5632.0	5632.0	-5674.2	-5833.0	-5758.5	-5929.0
16:20:17, Thursday, April 03, 2025	4.078	4389.0	3938.0	-	89.7	0.0	-43.1	-200.6	27.5	-148.5	83.9	1.8	1.8	5632.0	5632.0	-5675.1	-5832.6	-5604.5	-5780.5
16:20:18, Thursday, April 03, 2025	5.437	4394.5	3954.5	-	90.0	0.0	-43.1	-198.9	-44.0	-110.0	83.9	1.8	1.8	5632.0	5632.0	-5675.1	-5830.9	-5676.0	-5742.0
16:20:20, Thursday, April 03, 2025	6.797	4389.0	3943.5	-	89.8	0.0	-43.4	-201.0	-22.0	-170.5	84.0	1.7	1.8	5632.0	5632.0	-5675.4	-5833.0	-5654.0	-5802.5
16:20:21, Thursday, April 03, 2025	8.109	4400.0	3943.5	-	89.6	0.0	-43.6	-200.4	-16.5	-313.5	84.0	1.8	1.8	5632.0	5632.0	-5675.6	-5832.4	-5648.5	-5945.5
16:20:22, Thursday, April 03, 2025	9.468	4394.5	4037.0	-	91.9	0.0	-43.0	-201.1	-198.0	-110.0	83.8	1.8	1.8	5632.0	5632.0	-5675.0	-5833.1	-5830.0	-5742.0
16:20:24, Thursday, April 03, 2025	10.843	4378.0	3976.5	-	90.8	0.0	-42.8	-201.0	-33.0	-242.0	83.9	1.8	1.8	5632.0	5632.0	-5674.8	-5833.0	-5665.0	-5874.0
16:20:25, Thursday, April 03, 2025	12.156	4400.0	3976.5	-	90.4	0.0	-43.5	-202.0	-22.0	-99.0	84.1	1.8	1.8	5632.0	5632.0	-5675.5	-5834.0	-5654.0	-5731.0
16:20:26, Thursday, April 03, 2025	13.500	4389.0	3960.0	-	90.2	0.0	-43.9	-200.7	5.5	-308.0	83.8	1.8	1.8	5632.0	5632.0	-5675.9	-5832.7	-5626.5	-5940.0
16:20:28, Thursday, April 03, 2025	14.859	4526.5	3960.0	-	87.5	0.0	-43.2	-200.3	-165.0	-225.5	84.1	1.8	1.8	5632.0	5632.0	-5675.2	-5832.3	-5797.0	-5857.5
16:20:29, Thursday, April 03, 2025	16.234	4389.0	4004.0	-	91.2	0.0	-43.1	-200.5	-33.0	-104.5	84.1	1.8	1.8	5632.0	5632.0	-5675.1	-5832.5	-5665.0	-5736.5
16:20:30, Thursday, April 03, 2025	17.531	4383.5	3987.5	-	91.0	0.0	-43.4	-199.5	-231.0	-126.5	83.8	1.8	1.8	5632.0	5632.0	-5675.4	-5831.5	-5863.0	-5758.5
16:20:32, Thursday, April 03, 2025	18.890	4389.0	3954.5	-	90.1	0.0	-43.6	-199.9	-77.0	-269.5	84.2	1.8	1.8	5632.0	5632.0	-5675.6	-5831.9	-5709.0	-5901.5
16:20:33, Thursday, April 03, 2025	20.250	4389.0	3954.5	-	90.1	0.0	-43.8	-200.8	-121.0	-275.0	84.0	1.8	1.8	5632.0	5632.0	-5675.8	-5832.8	-5753.0	-5907.0
16:20:34, Thursday, April 03, 2025	21.609	4394.5	3982.0	-	90.6	0.0	-44.1	-201.1	-192.5	-390.5	83.8	1.7	1.8	5632.0	5632.0	-5676.1	-5833.1	-5824.5	-6022.5
16:20:36, Thursday, April 03, 2025	22.922	4394.5	3987.5	-	90.7	0.0	-45.3	-200.4	-22.0	-313.5	84.0	1.8	1.8	5632.0	5632.0	-5677.3	-5832.4	-5654.0	-5945.5
16:20:37, Thursday, April 03, 2025	24.297	4394.5	4026.0	-	91.6	0.0	-44.6	-200.5	-27.5	-99.0	83.9	1.8	1.8	5632.0	5632.0	-5676.6	-5832.5	-5659.5	-5731.0
16:20:38, Thursday, April 03, 2025	25.625	4394.5	3987.5	-	90.7	0.0	-44.8	-199.6	-49.5	-324.5	84.0	1.8	1.8	5632.0	5632.0	-5676.8	-5831.6	-5681.5	-5956.5
16:20:40, Thursday, April 03, 2025	26.953	4383.5	3993.0	-	91.1	0.0	-43.9	-198.8	-33.0	-165.0	83.8	1.8	1.8	5632.0	5632.0	-5675.9	-5830.8	-5665.0	-5797.0
16:20:41, Thursday, April 03, 2025	28.250	4367.0	4009.5	-	91.8	0.0	-44.9	-201.2	-16.5	-313.5	83.9	1.8	1.8	5632.0	5632.0	-5676.9	-5833.2	-5648.5	-5945.5
16:20:42, Thursday, April 03, 2025	29.625	4400.0	3954.5	-	89.9	0.0	-43.7	-200.3	-82.5	-132.0	83.9	1.8	1.8	5632.0	5632.0	-5675.7	-5832.3	-5714.5	-5764.0
