Software Version: 1.08.00
Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 10 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
Video Trigger: Not activated
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 16:00:26, Thursday, April 03, 2025	1.219	3311.0	2948.0	-	89.0	0.0	995.5	-625.8	1078.0	-665.5	85.3	1.8	1.8	5632.0	5632.0	-4636.5	-6257.8	-4554.0	-6297.5
16:00:27, Thursday, April 03, 2025	2.485	3305.5	2964.5	-	89.7	0.0	995.8	-625.3	1078.0	-583.0	85.3	1.8	1.8	5632.0	5632.0	-4636.2	-6257.3	-4554.0	-6215.0
16:00:28, Thursday, April 03, 2025	3.766	3311.0	2953.5	-	89.2	0.0	995.4	-625.6	1001.0	-621.5	85.3	1.8	1.8	5632.0	5632.0	-4636.6	-6257.6	-4631.0	-6253.5
16:00:30, Thursday, April 03, 2025	5.000	3311.0	2970.0	-	89.7	0.0	995.4	-625.5	913.0	-803.0	85.4	1.8	1.8	5632.0	5632.0	-4636.6	-6257.5	-4719.0	-6435.0
16:00:31, Thursday, April 03, 2025	6.235	3300.0	2959.0	-	89.7	0.0	995.1	-625.4	1012.0	-616.0	85.5	1.8	1.8	5632.0	5632.0	-4636.9	-6257.4	-4620.0	-6248.0
16:00:32, Thursday, April 03, 2025	7.485	3322.0	2920.5	-	87.9	0.0	995.0	-625.7	830.5	-638.0	85.5	1.8	1.8	5632.0	5632.0	-4637.0	-6257.7	-4801.5	-6270.0
16:00:33, Thursday, April 03, 2025	8.719	3305.5	2920.5	-	88.4	0.0	994.7	-625.8	924.0	-737.0	85.2	1.8	1.8	5632.0	5632.0	-4637.3	-6257.8	-4708.0	-6369.0
16:00:35, Thursday, April 03, 2025	9.969	3322.0	3030.5	-	91.2	0.0	995.1	-625.9	1083.5	-583.0	85.5	1.8	1.8	5632.0	5632.0	-4636.9	-6257.9	-4548.5	-6215.0
16:00:36, Thursday, April 03, 2025	11.235	3300.0	2959.0	-	89.7	0.0	995.2	-626.1	1001.0	-621.5	85.4	1.8	1.8	5632.0	5632.0	-4636.8	-6258.1	-4631.0	-6253.5
16:00:37, Thursday, April 03, 2025	12.469	3316.5	2992.0	-	90.2	0.0	995.5	-626.3	913.0	-528.0	85.0	1.8	1.8	5632.0	5632.0	-4636.5	-6258.3	-4719.0	-6160.0
16:00:38, Thursday, April 03, 2025	13.719	3305.5	2948.0	-	89.2	0.0	994.7	-626.2	836.0	-698.5	85.1	1.8	1.8	5632.0	5632.0	-4637.3	-6258.2	-4796.0	-6330.5
16:00:40, Thursday, April 03, 2025	14.969	3305.5	2997.5	-	90.7	0.0	995.2	-626.2	918.5	-594.0	85.2	1.8	1.8	5632.0	5632.0	-4636.8	-6258.2	-4713.5	-6226.0
16:00:41, Thursday, April 03, 2025	16.203	3294.5	2926.0	-	88.8	0.0	995.0	-626.1	1006.5	-616.0	85.4	1.8	1.8	5632.0	5632.0	-4637.0	-6258.1	-4625.5	-6248.0
16:00:42, Thursday, April 03, 2025	17.469	3294.5	2959.0	-	89.8	0.0	995.3	-626.4	929.5	-803.0	85.4	1.8	1.8	5632.0	5632.0	-4636.7	-6258.4	-4702.5	-6435.0
16:00:43, Thursday, April 03, 2025	18.703	3300.0	2964.5	-	89.8	0.0	995.0	-625.6	924.0	-737.0	85.1	1.8	1.8	5632.0	5632.0	-4637.0	-6257.6	-4708.0	-6369.0
16:00:45, Thursday, April 03, 2025	19.969	3300.0	3008.5	-	91.2	0.0	995.0	-625.8	836.0	-698.5	85.2	1.8	1.8	5632.0	5632.0	-4637.0	-6257.8	-4796.0	-6330.5
16:00:46, Thursday, April 03, 2025	21.219	3316.5	2948.0	-	88.9	0.0	994.7	-625.4	825.0	-632.5	85.1	1.8	1.8	5632.0	5632.0	-4637.3	-6257.4	-4807.0	-6264.5
16:00:47, Thursday, April 03, 2025	22.469	3294.5	2959.0	-	89.8	0.0	995.0	-625.7	973.5	-638.0	85.3	1.8	1.8	5632.0	5632.0	-4637.0	-6257.7	-4658.5	-6270.0
16:00:48, Thursday, April 03, 2025	23.703	3305.5	2937.0	-	88.9	0.0	995.4	-625.6	924.0	-726.0	85.2	1.8	1.8	5632.0	5632.0	-4636.6	-6257.6	-4708.0	-6358.0
16:00:50, Thursday, April 03, 2025	24.953	3316.5	2937.0	-	88.6	0.0	995.4	-626.1	808.5	-643.5	85.0	1.8	1.8	5632.0	5632.0	-4636.6	-6258.1	-4823.5	-6275.5
16:00:51, Thursday, April 03, 2025	26.203	3300.0	2948.0	-	89.3	0.0	995.4	-626.0	990.0	-627.0	85.0	1.8	1.8	5632.0	5632.0	-4636.6	-6258.0	-4642.0	-6259.0
16:00:52, Thursday, April 03, 2025	27.469	3294.5	2975.5	-	90.3	0.0	995.4	-625.2	1078.0	-654.5	85.0	1.8	1.8	5632.0	5632.0	-4636.6	-6257.2	-4554.0	-6286.5
16:00:53, Thursday, April 03, 2025	28.735	3294.5	2975.5	-	90.3	0.0	995.2	-625.6	946.0	-715.0	84.9	1.8	1.8	5632.0	5632.0	-4636.8	-6257.6	-4686.0	-6347.0
16:00:55, Thursday, April 03, 2025	29.953	3300.0	2948.0	-	89.3	0.0	995.1	-625.3	1012.0	-616.0	84.9	1.8	1.8	5632.0	5632.0	-4636.9	-6257.3	-4620.0	-6248.0
