Software Version: 1.08.00
Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 10 pulse(s)
Total Duration: 0:0::30 (DD:HH:MM:SS)
Video Trigger: Not activated
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 
 15:35:56, Thursday, April 03, 2025	1.188	2299.0	2145.0	-	93.3	0.0	1764.6	-151.6	1727.0	-165.0	78.1	1.8	1.8
15:35:57, Thursday, April 03, 2025	2.438	2392.5	2150.5	-	89.9	0.0	1764.4	-152.3	1738.0	-82.5	78.0	1.8	1.7
15:35:59, Thursday, April 03, 2025	3.719	2299.0	2156.0	-	93.8	0.0	1764.4	-152.2	1661.0	-121.0	78.1	1.8	1.8
15:36:00, Thursday, April 03, 2025	4.953	2288.0	2145.0	-	93.8	0.0	1764.4	-152.3	1782.0	-132.0	77.9	1.8	1.8
15:36:01, Thursday, April 03, 2025	6.203	2282.5	2101.0	-	92.0	0.0	1764.3	-152.4	1732.5	-159.5	77.9	1.8	1.7
15:36:02, Thursday, April 03, 2025	7.469	2304.5	2139.5	-	92.8	0.0	1764.2	-152.0	1732.5	-159.5	78.0	1.8	1.8
15:36:04, Thursday, April 03, 2025	8.735	2376.0	2156.0	-	90.7	0.0	1763.8	-151.5	1743.5	-159.5	78.1	1.8	1.7
15:36:05, Thursday, April 03, 2025	9.985	2288.0	2150.5	-	94.0	0.0	1764.4	-152.6	1661.0	-126.5	77.9	1.8	1.8
15:36:06, Thursday, April 03, 2025	11.250	2288.0	2095.5	-	91.6	0.0	1764.1	-151.8	1798.5	-203.5	77.8	1.8	1.7
15:36:07, Thursday, April 03, 2025	12.563	2288.0	2150.5	-	94.0	0.0	1763.9	-152.0	1732.5	-99.0	77.9	1.8	1.7
15:36:09, Thursday, April 03, 2025	13.828	2376.0	2150.5	-	90.5	0.0	1764.3	-152.2	1738.0	-159.5	78.5	1.8	1.7
15:36:10, Thursday, April 03, 2025	15.125	2304.5	2161.5	-	93.8	0.0	1764.3	-152.3	1743.5	-214.5	78.1	1.8	1.7
15:36:11, Thursday, April 03, 2025	16.391	2370.5	2156.0	-	91.0	0.0	1764.4	-151.9	1743.5	-154.0	77.9	1.8	1.7
15:36:13, Thursday, April 03, 2025	17.672	2288.0	2139.5	-	93.5	0.0	1764.6	-151.4	1721.5	-165.0	78.1	1.8	1.7
15:36:14, Thursday, April 03, 2025	18.938	2304.5	2156.0	-	93.6	0.0	1764.6	-151.7	1683.0	-38.5	78.0	1.8	1.8
15:36:15, Thursday, April 03, 2025	20.219	2293.5	2145.0	-	93.5	0.0	1764.2	-151.3	1661.0	-121.0	77.9	1.8	1.7
15:36:16, Thursday, April 03, 2025	21.500	2299.0	2156.0	-	93.8	0.0	1764.6	-151.9	1705.0	-165.0	77.6	1.8	1.7
15:36:18, Thursday, April 03, 2025	22.813	2299.0	2156.0	-	93.8	0.0	1764.7	-152.6	1705.0	-99.0	78.4	1.8	1.8
15:36:19, Thursday, April 03, 2025	24.047	2381.5	2145.0	-	90.1	0.0	1764.9	-152.0	1661.0	-121.0	77.9	1.8	1.7
15:36:20, Thursday, April 03, 2025	25.282	2376.0	2161.5	-	91.0	0.0	1764.6	-151.8	1749.0	-148.5	77.9	1.8	1.8
15:36:21, Thursday, April 03, 2025	26.438	2293.5	2101.0	-	91.6	0.0	1764.5	-151.7	1771.0	-143.0	78.0	1.8	1.7
15:36:23, Thursday, April 03, 2025	27.625	2392.5	2123.0	-	88.7	0.0	1764.5	-152.0	1782.0	-126.5	78.2	1.8	1.7
15:36:24, Thursday, April 03, 2025	28.766	2315.5	2161.5	-	93.3	0.0	1764.7	-151.8	1666.5	-121.0	77.7	1.8	1.8
15:36:25, Thursday, April 03, 2025	29.907	2310.0	2134.0	-	92.4	0.0	1764.8	-151.6	1738.0	-165.0	77.9	1.8	1.7
