Software Version: 1.08.00
Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 10 pulse(s)
Total Duration: 0:0::30 (DD:HH:MM:SS)
Video Trigger: Not activated
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 
 15:48:36, Thursday, April 03, 2025	2.562	3069.0	2766.5	-	90.1	0.0	1479.2	-498.7	1441.0	-610.5	84.8	1.8	1.8
15:48:38, Thursday, April 03, 2025	3.969	3047.0	2777.5	-	91.2	0.0	1479.3	-498.5	1408.0	-484.0	85.2	1.8	1.8
15:48:39, Thursday, April 03, 2025	5.234	3074.5	2788.5	-	90.7	0.0	1478.8	-498.8	1342.0	-583.0	84.6	1.8	1.8
15:48:40, Thursday, April 03, 2025	6.562	3080.0	2777.5	-	90.2	0.0	1479.6	-499.1	1331.0	-588.5	85.2	1.8	1.8
15:48:41, Thursday, April 03, 2025	7.844	3080.0	2788.5	-	90.5	0.0	1479.3	-498.4	1441.0	-456.5	84.9	1.8	1.8
15:48:43, Thursday, April 03, 2025	9.140	3069.0	2766.5	-	90.1	0.0	1478.8	-498.3	1413.5	-473.0	85.1	1.8	1.8
15:48:44, Thursday, April 03, 2025	10.469	3063.5	2777.5	-	90.7	0.0	1479.1	-498.8	1413.5	-616.0	85.1	1.8	1.7
15:48:45, Thursday, April 03, 2025	11.719	3080.0	2788.5	-	90.5	0.0	1479.1	-498.7	1435.5	-539.0	85.3	1.8	1.8
15:48:47, Thursday, April 03, 2025	13.015	3080.0	2788.5	-	90.5	0.0	1478.7	-498.1	1485.0	-528.0	84.8	1.8	1.8
15:48:48, Thursday, April 03, 2025	14.375	3080.0	2788.5	-	90.5	0.0	1478.9	-498.3	1336.5	-588.5	85.4	1.8	1.8
15:48:49, Thursday, April 03, 2025	15.625	3091.0	2783.0	-	90.0	0.0	1478.6	-498.4	1424.5	-473.0	85.3	1.8	1.8
15:48:51, Thursday, April 03, 2025	16.906	3069.0	2788.5	-	90.9	0.0	1479.1	-498.3	1336.5	-588.5	85.2	1.8	1.8
15:48:52, Thursday, April 03, 2025	18.172	3091.0	2777.5	-	89.9	0.0	1478.8	-498.8	1479.5	-594.0	85.3	1.8	1.8
15:48:53, Thursday, April 03, 2025	19.469	3063.5	2777.5	-	90.7	0.0	1479.1	-498.2	1408.0	-489.5	85.2	1.8	1.8
15:48:54, Thursday, April 03, 2025	20.844	3058.0	2783.0	-	91.0	0.0	1479.0	-497.6	1435.5	-533.5	85.4	1.8	1.8
15:48:56, Thursday, April 03, 2025	22.109	3074.5	2788.5	-	90.7	0.0	1478.8	-498.5	1380.5	-566.5	85.2	1.8	1.8
15:48:57, Thursday, April 03, 2025	23.500	3058.0	2772.0	-	90.6	0.0	1478.8	-498.2	1479.5	-594.0	85.4	1.8	1.8
15:48:58, Thursday, April 03, 2025	24.828	3080.0	2766.5	-	89.8	0.0	1478.5	-498.0	1408.0	-484.0	85.0	1.8	1.8
15:49:00, Thursday, April 03, 2025	26.078	3074.5	2772.0	-	90.2	0.0	1479.5	-497.9	1435.5	-539.0	85.4	1.8	1.8
15:49:01, Thursday, April 03, 2025	27.359	3085.5	2788.5	-	90.4	0.0	1479.1	-497.3	1331.0	-588.5	85.4	1.8	1.8
15:49:02, Thursday, April 03, 2025	28.578	3085.5	2788.5	-	90.4	0.0	1478.8	-498.6	1364.0	-572.0	85.4	1.8	1.8
15:49:03, Thursday, April 03, 2025	29.844	3085.5	2788.5	-	90.4	0.0	1478.8	-497.5	1413.5	-544.5	85.3	1.8	1.8
