Software Version: 1.08.00
Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 10 pulse(s)
Total Duration: 0:0::30 (DD:HH:MM:SS)
Video Trigger: Not activated
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 
 15:33:55, Thursday, April 03, 2025	1.203	2101.0	1908.5	-	90.8	0.0	1690.6	-20.7	1699.5	-110.0	94.5	1.8	1.7
15:33:56, Thursday, April 03, 2025	2.344	2101.0	1903.0	-	90.6	0.0	1690.6	-20.3	1732.5	-88.0	94.4	1.8	1.7
15:33:57, Thursday, April 03, 2025	3.469	2106.5	1919.5	-	91.1	0.0	1690.4	-19.9	1688.5	-115.5	94.3	1.8	1.8
15:33:58, Thursday, April 03, 2025	4.641	2112.0	1914.0	-	90.6	0.0	1690.4	-20.3	1732.5	-93.5	94.9	1.8	1.7
15:33:59, Thursday, April 03, 2025	5.922	2095.5	1908.5	-	91.1	0.0	1690.4	-19.9	1661.0	16.5	95.0	1.8	1.7
15:34:01, Thursday, April 03, 2025	7.110	2101.0	1919.5	-	91.4	0.0	1690.3	-19.5	1787.5	5.5	94.8	1.8	1.7
15:34:02, Thursday, April 03, 2025	8.219	2101.0	1914.0	-	91.1	0.0	1690.3	-20.1	1727.0	-16.5	94.7	1.8	1.7
15:34:03, Thursday, April 03, 2025	9.453	2112.0	1919.5	-	90.9	0.0	1690.3	-20.0	1699.5	-33.0	94.5	1.8	1.7
15:34:04, Thursday, April 03, 2025	10.657	2112.0	1919.5	-	90.9	0.0	1690.3	-19.8	1721.5	-99.0	94.6	1.8	1.7
15:34:05, Thursday, April 03, 2025	11.844	2123.0	1919.5	-	90.4	0.0	1690.8	-19.8	1716.0	-22.0	94.7	1.8	1.7
15:34:07, Thursday, April 03, 2025	13.907	2123.0	1919.5	-	90.4	0.0	1690.7	-19.8	1694.0	-33.0	95.0	1.8	1.7
15:34:10, Thursday, April 03, 2025	16.172	2134.0	1919.5	-	89.9	0.0	1690.5	-20.1	1716.0	-22.0	94.8	1.8	1.7
15:34:12, Thursday, April 03, 2025	18.016	2123.0	1903.0	-	89.6	0.0	1690.4	-19.4	1721.5	-27.5	94.8	1.8	1.7
15:34:13, Thursday, April 03, 2025	19.219	2117.5	1919.5	-	90.6	0.0	1690.4	-19.8	1732.5	-22.0	95.1	1.8	1.7
15:34:14, Thursday, April 03, 2025	20.735	2101.0	1919.5	-	91.4	0.0	1690.5	-19.9	1732.5	-88.0	95.1	1.8	1.7
15:34:15, Thursday, April 03, 2025	21.938	2106.5	1919.5	-	91.1	0.0	1690.4	-19.7	1738.0	-88.0	94.6	1.8	1.7
15:34:17, Thursday, April 03, 2025	23.172	2112.0	1919.5	-	90.9	0.0	1690.6	-19.7	1732.5	-93.5	94.9	1.8	1.8
15:34:18, Thursday, April 03, 2025	24.422	2117.5	1919.5	-	90.6	0.0	1690.7	-19.5	1732.5	-93.5	94.8	1.8	1.7
15:34:19, Thursday, April 03, 2025	25.703	2112.0	1919.5	-	90.9	0.0	1690.3	-20.3	1716.0	-22.0	95.0	1.8	1.7
15:34:21, Thursday, April 03, 2025	26.953	2117.5	1919.5	-	90.6	0.0	1690.4	-19.9	1743.5	-88.0	94.8	1.8	1.7
15:34:22, Thursday, April 03, 2025	28.250	2106.5	1919.5	-	91.1	0.0	1690.4	-19.9	1661.0	22.0	94.6	1.8	1.8
15:34:23, Thursday, April 03, 2025	29.547	2134.0	1908.5	-	89.4	0.0	1690.5	-20.1	1721.5	-22.0	94.8	1.8	1.7
15:34:24, Thursday, April 03, 2025	30.813	2117.5	1919.5	-	90.6	0.0	1690.5	-20.0	1732.5	-16.5	94.9	1.8	1.7
