Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 15:55:29, Wednesday, March 26, 2025	0.266	506.0	467.5	-	92.4	0.0	-75.3	948.2	-66.0	946.0	81.2	1.7	1.7	0.0	0.0	-75.3	948.2	-66.0	946.0
15:55:29, Wednesday, March 26, 2025	1.031	506.0	467.5	-	92.4	0.0	-75.2	948.1	-66.0	946.0	81.4	1.7	1.7	0.0	0.0	-75.2	948.1	-66.0	946.0
15:55:30, Wednesday, March 26, 2025	1.766	506.0	467.5	-	92.4	0.0	-75.2	948.0	-77.0	957.0	81.5	1.7	1.7	0.0	0.0	-75.2	948.0	-77.0	957.0
15:55:31, Wednesday, March 26, 2025	2.531	506.0	467.5	-	92.4	0.0	-75.2	948.1	-66.0	951.5	81.6	1.7	1.7	0.0	0.0	-75.2	948.1	-66.0	951.5
15:55:32, Wednesday, March 26, 2025	3.281	506.0	467.5	-	92.4	0.0	-75.2	948.1	-71.5	957.0	81.3	1.7	1.7	0.0	0.0	-75.2	948.1	-71.5	957.0
15:55:32, Wednesday, March 26, 2025	3.985	506.0	467.5	-	92.4	0.0	-75.2	948.1	-82.5	940.5	81.3	1.7	1.7	0.0	0.0	-75.2	948.1	-82.5	940.5
15:55:33, Wednesday, March 26, 2025	4.719	506.0	467.5	-	92.4	0.0	-75.1	948.0	-66.0	951.5	81.3	1.7	1.7	0.0	0.0	-75.1	948.0	-66.0	951.5
15:55:34, Wednesday, March 26, 2025	5.406	506.0	467.5	-	92.4	0.0	-75.2	948.1	-66.0	951.5	81.5	1.7	1.7	0.0	0.0	-75.2	948.1	-66.0	951.5
15:55:35, Wednesday, March 26, 2025	6.141	506.0	467.5	-	92.4	0.0	-75.3	948.0	-66.0	946.0	81.3	1.7	1.7	0.0	0.0	-75.3	948.0	-66.0	946.0
15:55:35, Wednesday, March 26, 2025	6.844	506.0	467.5	-	92.4	0.0	-75.3	948.0	-77.0	957.0	81.2	1.7	1.7	0.0	0.0	-75.3	948.0	-77.0	957.0
15:55:36, Wednesday, March 26, 2025	7.563	506.0	467.5	-	92.4	0.0	-75.2	948.1	-66.0	951.5	81.3	1.7	1.7	0.0	0.0	-75.2	948.1	-66.0	951.5
15:55:37, Wednesday, March 26, 2025	8.281	506.0	467.5	-	92.4	0.0	-75.1	948.1	-66.0	951.5	81.4	1.7	1.7	0.0	0.0	-75.1	948.1	-66.0	951.5
15:55:37, Wednesday, March 26, 2025	8.985	506.0	467.5	-	92.4	0.0	-75.2	948.1	-66.0	946.0	81.3	1.7	1.7	0.0	0.0	-75.2	948.1	-66.0	946.0
15:55:38, Wednesday, March 26, 2025	9.703	506.0	467.5	-	92.4	0.0	-75.3	948.0	-66.0	951.5	81.4	1.7	1.7	0.0	0.0	-75.3	948.0	-66.0	951.5
15:55:39, Wednesday, March 26, 2025	10.406	506.0	467.5	-	92.4	0.0	-75.2	948.2	-71.5	957.0	81.2	1.7	1.7	0.0	0.0	-75.2	948.2	-71.5	957.0
15:55:40, Wednesday, March 26, 2025	11.078	506.0	467.5	-	92.4	0.0	-75.2	948.2	-77.0	957.0	81.3	1.7	1.7	0.0	0.0	-75.2	948.2	-77.0	957.0
15:55:40, Wednesday, March 26, 2025	11.781	506.0	467.5	-	92.4	0.0	-75.3	948.0	-66.0	951.5	81.3	1.7	1.7	0.0	0.0	-75.3	948.0	-66.0	951.5
15:55:41, Wednesday, March 26, 2025	12.469	506.0	467.5	-	92.4	0.0	-75.2	948.1	-71.5	940.5	81.3	1.7	1.7	0.0	0.0	-75.2	948.1	-71.5	940.5
15:55:42, Wednesday, March 26, 2025	13.156	506.0	467.5	-	92.4	0.0	-75.2	948.1	-66.0	951.5	81.5	1.7	1.7	0.0	0.0	-75.2	948.1	-66.0	951.5
15:55:42, Wednesday, March 26, 2025	13.813	506.0	467.5	-	92.4	0.0	-75.2	948.1	-66.0	951.5	81.3	1.7	1.7	0.0	0.0	-75.2	948.1	-66.0	951.5
15:55:43, Wednesday, March 26, 2025	14.500	506.0	467.5	-	92.4	0.0	-75.2	948.1	-66.0	951.5	81.3	1.7	1.7	0.0	0.0	-75.2	948.1	-66.0	951.5
15:55:44, Wednesday, March 26, 2025	15.203	506.0	467.5	-	92.4	0.0	-75.2	948.0	-66.0	946.0	81.4	1.7	1.7	0.0	0.0	-75.2	948.0	-66.0	946.0
