Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 15:42:42, Wednesday, March 26, 2025	0.516	924.0	836.0	-	90.5	0.0	-339.9	874.9	-319.0	869.0	89.9	1.7	1.7	0.0	0.0	-339.9	874.9	-319.0	869.0
15:42:43, Wednesday, March 26, 2025	1.188	924.0	836.0	-	90.5	0.0	-339.8	874.9	-313.5	863.5	90.0	1.7	1.7	0.0	0.0	-339.8	874.9	-313.5	863.5
15:42:43, Wednesday, March 26, 2025	1.797	924.0	836.0	-	90.5	0.0	-339.9	874.9	-308.0	880.0	89.9	1.7	1.7	0.0	0.0	-339.9	874.9	-308.0	880.0
15:42:44, Wednesday, March 26, 2025	2.469	924.0	836.0	-	90.5	0.0	-339.9	875.1	-308.0	880.0	90.1	1.7	1.7	0.0	0.0	-339.9	875.1	-308.0	880.0
15:42:45, Wednesday, March 26, 2025	3.204	924.0	841.5	-	91.1	0.0	-340.0	875.2	-319.0	880.0	89.9	1.7	1.7	0.0	0.0	-340.0	875.2	-319.0	880.0
15:42:45, Wednesday, March 26, 2025	3.875	918.5	841.5	-	91.6	0.0	-339.7	875.1	-308.0	880.0	89.8	1.7	1.7	0.0	0.0	-339.7	875.1	-308.0	880.0
15:42:46, Wednesday, March 26, 2025	4.500	924.0	841.5	-	91.1	0.0	-339.9	875.1	-313.5	885.5	89.7	1.7	1.7	0.0	0.0	-339.9	875.1	-313.5	885.5
15:42:47, Wednesday, March 26, 2025	5.125	924.0	836.0	-	90.5	0.0	-339.8	875.0	-308.0	880.0	89.8	1.7	1.7	0.0	0.0	-339.8	875.0	-308.0	880.0
15:42:47, Wednesday, March 26, 2025	5.688	924.0	841.5	-	91.1	0.0	-340.0	875.2	-324.5	880.0	89.6	1.7	1.7	0.0	0.0	-340.0	875.2	-324.5	880.0
15:42:48, Wednesday, March 26, 2025	6.266	924.0	836.0	-	90.5	0.0	-339.9	874.9	-330.0	874.5	90.0	1.7	1.7	0.0	0.0	-339.9	874.9	-330.0	874.5
15:42:48, Wednesday, March 26, 2025	6.844	924.0	836.0	-	90.5	0.0	-339.9	875.0	-308.0	880.0	89.7	1.7	1.7	0.0	0.0	-339.9	875.0	-308.0	880.0
15:42:49, Wednesday, March 26, 2025	7.454	924.0	836.0	-	90.5	0.0	-339.8	874.9	-330.0	874.5	90.0	1.7	1.7	0.0	0.0	-339.8	874.9	-330.0	874.5
15:42:50, Wednesday, March 26, 2025	8.032	924.0	836.0	-	90.5	0.0	-339.8	874.8	-313.5	863.5	89.9	1.7	1.7	0.0	0.0	-339.8	874.8	-313.5	863.5
15:42:50, Wednesday, March 26, 2025	8.594	924.0	836.0	-	90.5	0.0	-339.9	874.9	-308.0	880.0	90.0	1.7	1.7	0.0	0.0	-339.9	874.9	-308.0	880.0
15:42:51, Wednesday, March 26, 2025	9.219	924.0	836.0	-	90.5	0.0	-339.8	875.1	-319.0	880.0	89.9	1.7	1.7	0.0	0.0	-339.8	875.1	-319.0	880.0
15:42:51, Wednesday, March 26, 2025	9.782	924.0	836.0	-	90.5	0.0	-339.9	874.8	-324.5	869.0	89.8	1.7	1.7	0.0	0.0	-339.9	874.8	-324.5	869.0
15:42:52, Wednesday, March 26, 2025	10.344	924.0	836.0	-	90.5	0.0	-339.8	874.8	-319.0	869.0	89.5	1.7	1.7	0.0	0.0	-339.8	874.8	-319.0	869.0
15:42:52, Wednesday, March 26, 2025	10.922	924.0	841.5	-	91.1	0.0	-340.0	874.9	-308.0	880.0	89.7	1.7	1.7	0.0	0.0	-340.0	874.9	-308.0	880.0
15:42:53, Wednesday, March 26, 2025	11.485	924.0	836.0	-	90.5	0.0	-340.0	875.0	-313.5	863.5	89.8	1.7	1.7	0.0	0.0	-340.0	875.0	-313.5	863.5
15:42:54, Wednesday, March 26, 2025	12.110	924.0	841.5	-	91.1	0.0	-340.0	874.8	-319.0	869.0	89.6	1.7	1.7	0.0	0.0	-340.0	874.8	-319.0	869.0
15:42:54, Wednesday, March 26, 2025	12.766	924.0	836.0	-	90.5	0.0	-340.0	874.8	-308.0	880.0	90.2	1.7	1.7	0.0	0.0	-340.0	874.8	-308.0	880.0
15:42:55, Wednesday, March 26, 2025	13.454	924.0	836.0	-	90.5	0.0	-340.0	874.9	-324.5	874.5	89.9	1.7	1.7	0.0	0.0	-340.0	874.9	-324.5	874.5
15:42:56, Wednesday, March 26, 2025	14.125	924.0	841.5	-	91.1	0.0	-340.0	875.1	-324.5	874.5	89.9	1.7	1.7	0.0	0.0	-340.0	875.1	-324.5	874.5
15:42:56, Wednesday, March 26, 2025	14.813	924.0	836.0	-	90.5	0.0	-340.1	874.9	-319.0	869.0	90.2	1.7	1.7	0.0	0.0	-340.1	874.9	-319.0	869.0
15:42:57, Wednesday, March 26, 2025	15.532	924.0	836.0	-	90.5	0.0	-340.0	874.9	-308.0	880.0	90.1	1.7	1.7	0.0	0.0	-340.0	874.9	-308.0	880.0
15:42:58, Wednesday, March 26, 2025	16.266	924.0	836.0	-	90.5	0.0	-339.9	874.8	-308.0	863.5	89.8	1.7	1.7	0.0	0.0	-339.9	874.8	-308.0	863.5
15:42:58, Wednesday, March 26, 2025	16.938	924.0	836.0	-	90.5	0.0	-340.0	874.9	-319.0	869.0	90.0	1.7	1.7	0.0	0.0	-340.0	874.9	-319.0	869.0
15:42:59, Wednesday, March 26, 2025	17.610	924.0	836.0	-	90.5	0.0	-340.0	874.8	-324.5	874.5	89.9	1.7	1.7	0.0	0.0	-340.0	874.8	-324.5	874.5
15:43:00, Wednesday, March 26, 2025	18.313	924.0	836.0	-	90.5	0.0	-339.9	874.8	-313.5	880.0	89.7	1.7	1.7	0.0	0.0	-339.9	874.8	-313.5	880.0
15:43:01, Wednesday, March 26, 2025	19.000	924.0	836.0	-	90.5	0.0	-339.9	875.0	-302.5	869.0	89.8	1.7	1.7	0.0	0.0	-339.9	875.0	-302.5	869.0
15:43:01, Wednesday, March 26, 2025	19.688	924.0	836.0	-	90.5	0.0	-339.8	874.8	-324.5	874.5	90.2	1.7	1.7	0.0	0.0	-339.8	874.8	-324.5	874.5
