Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 15:18:43, Wednesday, March 26, 2025	0.125	1413.5	1281.5	-	90.7	0.0	-651.8	799.9	-649.0	786.5	68.0	1.7	1.7	0.0	0.0	-651.8	799.9	-649.0	786.5
15:18:43, Wednesday, March 26, 2025	0.937	1413.5	1281.5	-	90.7	0.0	-651.8	799.6	-649.0	792.0	68.2	1.7	1.7	0.0	0.0	-651.8	799.6	-649.0	792.0
15:18:44, Wednesday, March 26, 2025	1.687	1413.5	1281.5	-	90.7	0.0	-651.8	800.0	-649.0	792.0	68.0	1.7	1.7	0.0	0.0	-651.8	800.0	-649.0	792.0
15:18:45, Wednesday, March 26, 2025	2.547	1413.5	1287.0	-	91.1	0.0	-651.8	800.2	-665.5	797.5	67.9	1.7	1.7	0.0	0.0	-651.8	800.2	-665.5	797.5
15:18:46, Wednesday, March 26, 2025	3.250	1413.5	1287.0	-	91.1	0.0	-651.8	799.8	-665.5	792.0	68.0	1.7	1.7	0.0	0.0	-651.8	799.8	-665.5	792.0
15:18:47, Wednesday, March 26, 2025	4.047	1413.5	1281.5	-	90.7	0.0	-651.8	799.7	-649.0	797.5	68.1	1.7	1.7	0.0	0.0	-651.8	799.7	-649.0	797.5
15:18:47, Wednesday, March 26, 2025	4.797	1413.5	1281.5	-	90.7	0.0	-651.8	799.9	-649.0	792.0	68.1	1.7	1.7	0.0	0.0	-651.8	799.9	-649.0	792.0
15:18:48, Wednesday, March 26, 2025	5.515	1413.5	1281.5	-	90.7	0.0	-651.9	799.7	-665.5	786.5	68.1	1.7	1.7	0.0	0.0	-651.9	799.7	-665.5	786.5
15:18:49, Wednesday, March 26, 2025	6.265	1413.5	1281.5	-	90.7	0.0	-651.7	799.9	-665.5	792.0	68.1	1.7	1.7	0.0	0.0	-651.7	799.9	-665.5	792.0
15:18:49, Wednesday, March 26, 2025	6.984	1413.5	1281.5	-	90.7	0.0	-651.7	799.7	-660.0	781.0	68.1	1.7	1.7	0.0	0.0	-651.7	799.7	-660.0	781.0
