% Moku:Go Oscilloscope
% Channel A (Input 2), DC coupling, 1 x probe attenuation
% Channel B (Input 1), DC coupling, 1 x probe attenuation
% Time span 295.4 ms, time offset 3.629 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-06-23 T 17:12:21 +0200
% Time (s), Channel A (Input 2) (V), Channel B (Input 1) (V)
-1.229280960000e-01, -6.112604e+00, 3.358574e-01
-1.226384640000e-01, -6.143136e+00, 3.358574e-01
-1.223488320000e-01, -6.167562e+00, 3.358574e-01
-1.220592000000e-01, -6.185882e+00, 3.358574e-01
-1.217695680000e-01, -6.210308e+00, 3.358574e-01
-1.214799360000e-01, -6.234734e+00, 3.358574e-01
-1.211903040000e-01, -6.259160e+00, 3.358574e-01
-1.209006720000e-01, -6.283586e+00, 3.358574e-01
-1.206110400000e-01, -6.301905e+00, 3.358574e-01
-1.203214080000e-01, -6.326331e+00, 3.358574e-01
-1.200317760000e-01, -6.356864e+00, 3.358574e-01
-1.197421440000e-01, -6.381290e+00, 3.358574e-01
-1.194525120000e-01, -6.399609e+00, 3.346361e-01
-1.191628800000e-01, -6.424035e+00, 3.370787e-01
-1.188732480000e-01, -6.448461e+00, 3.358574e-01
-1.185836160000e-01, -6.472887e+00, 3.358574e-01
-1.182939840000e-01, -6.497313e+00, 3.370787e-01
-1.180043520000e-01, -6.521739e+00, 3.358574e-01
-1.177147200000e-01, -6.546165e+00, 3.358574e-01
-1.174250880000e-01, -6.570591e+00, 3.358574e-01
-1.171354560000e-01, -6.595017e+00, 3.358574e-01
-1.168458240000e-01, -6.613337e+00, 3.358574e-01
-1.165561920000e-01, -6.637763e+00, 3.346361e-01
-1.162665600000e-01, -6.656082e+00, 3.358574e-01
-1.159769280000e-01, -6.692721e+00, 3.358574e-01
-1.156872960000e-01, -6.717147e+00, 3.358574e-01
-1.153976640000e-01, -6.735466e+00, 3.358574e-01
-1.151080320000e-01, -6.753786e+00, 3.358574e-01
-1.148184000000e-01, -6.778212e+00, 3.358574e-01
-1.145287680000e-01, -6.802638e+00, 3.370787e-01
-1.142391360000e-01, -6.827064e+00, 3.358574e-01
-1.139495040000e-01, -6.851490e+00, 3.358574e-01
-1.136598720000e-01, -6.869809e+00, 3.358574e-01
-1.133702400000e-01, -6.900342e+00, 3.358574e-01
-1.130806080000e-01, -6.924768e+00, 3.370787e-01
-1.127909760000e-01, -6.949194e+00, 3.358574e-01
-1.125013440000e-01, -6.961407e+00, 3.358574e-01
-1.122117120000e-01, -6.991939e+00, 3.346361e-01
-1.119220800000e-01, -7.022472e+00, 3.358574e-01
-1.116324480000e-01, -7.046898e+00, 3.358574e-01
-1.113428160000e-01, -7.059111e+00, 3.358574e-01
-1.110531840000e-01, -7.095750e+00, 3.358574e-01
-1.107635520000e-01, -7.107963e+00, 3.370787e-01
-1.104739200000e-01, -7.138495e+00, 3.358574e-01
-1.101842880000e-01, -7.162921e+00, 3.358574e-01
-1.098946560000e-01, -7.181241e+00, 3.346361e-01
-1.096050240000e-01, -7.199560e+00, 3.358574e-01
-1.093153920000e-01, -7.230093e+00, 3.346361e-01
-1.090257600000e-01, -7.248412e+00, 3.358574e-01
-1.087361280000e-01, -7.278945e+00, 3.358574e-01
-1.084464960000e-01, -7.303371e+00, 3.358574e-01
-1.081568640000e-01, -7.321690e+00, 3.358574e-01
-1.078672320000e-01, -7.358329e+00, 3.358574e-01
-1.075776000000e-01, -7.388862e+00, 3.358574e-01
-1.072879680000e-01, -7.407181e+00, 3.358574e-01
-1.069983360000e-01, -7.425501e+00, 3.346361e-01
-1.067087040000e-01, -7.456033e+00, 3.346361e-01
-1.064190720000e-01, -7.480459e+00, 3.346361e-01
-1.061294400000e-01, -7.492672e+00, 3.346361e-01
-1.058398080000e-01, -7.517098e+00, 3.358574e-01
-1.055501760000e-01, -7.547631e+00, 3.358574e-01
-1.052605440000e-01, -7.572057e+00, 3.358574e-01
-1.049709120000e-01, -7.602589e+00, 3.358574e-01
-1.046812800000e-01, -7.620909e+00, 3.346361e-01
-1.043916480000e-01, -7.645335e+00, 3.358574e-01
-1.041020160000e-01, -7.663654e+00, 3.358574e-01
-1.038123840000e-01, -7.688080e+00, 3.346361e-01
-1.035227520000e-01, -7.712506e+00, 3.358574e-01
-1.032331200000e-01, -7.743039e+00, 3.358574e-01
-1.029434880000e-01, -7.761358e+00, 3.346361e-01
-1.026538560000e-01, -7.791890e+00, 3.358574e-01
-1.023642240000e-01, -7.816316e+00, 3.358574e-01
-1.020745920000e-01, -7.840742e+00, 3.346361e-01
-1.017849600000e-01, -7.865168e+00, 3.358574e-01
