#x-axis,2
#second,Volt
-4.500000000000e-001, 3.19168e-001
-4.497440000000e-001, 3.17158e-001
-4.494880000000e-001, 3.17158e-001
-4.492320000000e-001, 3.17158e-001
-4.489760000000e-001, 3.17158e-001
-4.487200000000e-001, 3.17158e-001
-4.484640000000e-001, 3.17158e-001
-4.482080000000e-001, 3.17158e-001
-4.479520000000e-001, 3.17158e-001
-4.476960000000e-001, 3.19168e-001
-4.474400000000e-001, 3.17158e-001
-4.471840000000e-001, 3.15148e-001
-4.469280000000e-001, 3.19168e-001
-4.466720000000e-001, 3.19168e-001
-4.464160000000e-001, 3.17158e-001
-4.461600000000e-001, 3.19168e-001
-4.459040000000e-001, 3.21178e-001
-4.456480000000e-001, 3.17158e-001
-4.453920000000e-001, 3.17158e-001
-4.451360000000e-001, 3.21178e-001
-4.448800000000e-001, 3.19168e-001
-4.446240000000e-001, 3.19168e-001
-4.443680000000e-001, 3.17158e-001
-4.441120000000e-001, 3.17158e-001
-4.438560000000e-001, 3.17158e-001
-4.436000000000e-001, 3.19168e-001
-4.433440000000e-001, 3.19168e-001
-4.430880000000e-001, 3.19168e-001
-4.428320000000e-001, 3.17158e-001
-4.425760000000e-001, 3.17158e-001
-4.423200000000e-001, 3.17158e-001
-4.420640000000e-001, 3.19168e-001
-4.418080000000e-001, 3.17158e-001
-4.415520000000e-001, 3.19168e-001
-4.412960000000e-001, 3.19168e-001
-4.410400000000e-001, 3.19168e-001
-4.407840000000e-001, 3.19168e-001
-4.405280000000e-001, 3.19168e-001
-4.402720000000e-001, 3.19168e-001
-4.400160000000e-001, 3.19168e-001
-4.397600000000e-001, 3.17158e-001
-4.395040000000e-001, 3.19168e-001
-4.392480000000e-001, 3.17158e-001
-4.389920000000e-001, 3.21178e-001
-4.387360000000e-001, 3.21178e-001
-4.384800000000e-001, 3.21178e-001
-4.382240000000e-001, 3.19168e-001
-4.379680000000e-001, 3.21178e-001
-4.377120000000e-001, 3.19168e-001
-4.374560000000e-001, 3.19168e-001
-4.372000000000e-001, 3.19168e-001
-4.369440000000e-001, 3.19168e-001
-4.366880000000e-001, 3.19168e-001
-4.364320000000e-001, 3.21178e-001
-4.361760000000e-001, 3.19168e-001
-4.359200000000e-001, 3.21178e-001
-4.356640000000e-001, 3.19168e-001
-4.354080000000e-001, 3.19168e-001
-4.351520000000e-001, 3.21178e-001
-4.348960000000e-001, 3.17158e-001
-4.346400000000e-001, 3.17158e-001
-4.343840000000e-001, 3.19168e-001
-4.341280000000e-001, 3.17158e-001
-4.338720000000e-001, 3.19168e-001
-4.336160000000e-001, 3.17158e-001
-4.333600000000e-001, 3.17158e-001
-4.331040000000e-001, 3.17158e-001
-4.328480000000e-001, 3.19168e-001
-4.325920000000e-001, 3.15148e-001
-4.323360000000e-001, 3.17158e-001
-4.320800000000e-001, 3.17158e-001
-4.318240000000e-001, 3.17158e-001
-4.315680000000e-001, 3.19168e-001
-4.313120000000e-001, 3.17158e-001
-4.310560000000e-001, 3.19168e-001
-4.308000000000e-001, 3.17158e-001
-4.305440000000e-001, 3.17158e-001
-4.302880000000e-001, 3.21178e-001
-4.300320000000e-001, 3.19168e-001
-4.297760000000e-001, 3.21178e-001
-4.295200000000e-001, 3.19168e-001
-4.292640000000e-001, 3.19168e-001
-4.290080000000e-001, 3.17158e-001
-4.287520000000e-001, 3.19168e-001
-4.284960000000e-001, 3.17158e-001
-4.282400000000e-001, 3.19168e-001
-4.279840000000e-001, 3.17158e-001
-4.277280000000e-001, 3.19168e-001
-4.274720000000e-001, 3.17158e-001
-4.272160000000e-001, 3.19168e-001
-4.269600000000e-001, 3.19168e-001
-4.267040000000e-001, 3.17158e-001
-4.264480000000e-001, 3.17158e-001
-4.261920000000e-001, 3.17158e-001
-4.259360000000e-001, 3.17158e-001
-4.256800000000e-001, 3.19168e-001
-4.254240000000e-001, 3.19168e-001
-4.251680000000e-001, 3.17158e-001
-4.249120000000e-001, 3.19168e-001
-4.246560000000e-001, 3.15148e-001
-4.244000000000e-001, 3.15148e-001
-4.241440000000e-001, 3.13138e-001
-4.238880000000e-001, 3.13138e-001
-4.236320000000e-001, 3.11128e-001
-4.233760000000e-001, 3.05097e-001
-4.231200000000e-001, 2.91027e-001
-4.228640000000e-001, 2.76957e-001
-4.226080000000e-001, 2.80977e-001
-4.223520000000e-001, 2.99067e-001
-4.220960000000e-001, 3.07107e-001
-4.218400000000e-001, 3.11128e-001
-4.215840000000e-001, 3.15148e-001
-4.213280000000e-001, 3.15148e-001
-4.210720000000e-001, 3.13138e-001
-4.208160000000e-001, 3.17158e-001
-4.205600000000e-001, 3.17158e-001
-4.203040000000e-001, 3.17158e-001
-4.200480000000e-001, 3.19168e-001
-4.197920000000e-001, 3.17158e-001
-4.195360000000e-001, 3.17158e-001
-4.192800000000e-001, 3.19168e-001
-4.190240000000e-001, 3.19168e-001
-4.187680000000e-001, 3.17158e-001
-4.185120000000e-001, 3.15148e-001
-4.182560000000e-001, 3.15148e-001
-4.180000000000e-001, 3.15148e-001
-4.177440000000e-001, 3.17158e-001
-4.174880000000e-001, 3.15148e-001
-4.172320000000e-001, 3.17158e-001
-4.169760000000e-001, 3.13138e-001
-4.167200000000e-001, 3.15148e-001
-4.164640000000e-001, 3.13138e-001
-4.162080000000e-001, 3.11128e-001
-4.159520000000e-001, 3.09117e-001
-4.156960000000e-001, 3.09117e-001
-4.154400000000e-001, 3.03087e-001
-4.151840000000e-001, 2.95047e-001
-4.149280000000e-001, 2.82987e-001
-4.146720000000e-001, 2.58866e-001
-4.144160000000e-001, 2.06605e-001
-4.141600000000e-001, 1.14143e-001
-4.139040000000e-001, 9.60521e-002
-4.136480000000e-001, 1.88514e-001
-4.133920000000e-001, 2.50826e-001
-4.131360000000e-001, 2.80977e-001
-4.128800000000e-001, 2.95047e-001
-4.126240000000e-001, 3.01077e-001
-4.123680000000e-001, 3.05097e-001
-4.121120000000e-001, 3.11128e-001
-4.118560000000e-001, 3.11128e-001
-4.116000000000e-001, 3.13138e-001
-4.113440000000e-001, 3.15148e-001
-4.110880000000e-001, 3.13138e-001
-4.108320000000e-001, 3.15148e-001
-4.105760000000e-001, 3.17158e-001
-4.103200000000e-001, 3.17158e-001
-4.100640000000e-001, 3.17158e-001
-4.098080000000e-001, 3.17158e-001
-4.095520000000e-001, 3.19168e-001
-4.092960000000e-001, 3.17158e-001
-4.090400000000e-001, 3.17158e-001
-4.087840000000e-001, 3.17158e-001
-4.085280000000e-001, 3.19168e-001
-4.082720000000e-001, 3.19168e-001
-4.080160000000e-001, 3.17158e-001
-4.077600000000e-001, 3.19168e-001
-4.075040000000e-001, 3.17158e-001
-4.072480000000e-001, 3.19168e-001
-4.069920000000e-001, 3.19168e-001
-4.067360000000e-001, 3.17158e-001
-4.064800000000e-001, 3.19168e-001
-4.062240000000e-001, 3.21178e-001
-4.059680000000e-001, 3.19168e-001
-4.057120000000e-001, 3.17158e-001
-4.054560000000e-001, 3.19168e-001
-4.052000000000e-001, 3.19168e-001
-4.049440000000e-001, 3.19168e-001
-4.046880000000e-001, 3.17158e-001
-4.044320000000e-001, 3.19168e-001
-4.041760000000e-001, 3.19168e-001
-4.039200000000e-001, 3.19168e-001
-4.036640000000e-001, 3.21178e-001
-4.034080000000e-001, 3.19168e-001
-4.031520000000e-001, 3.19168e-001
-4.028960000000e-001, 3.19168e-001
-4.026400000000e-001, 3.19168e-001
-4.023840000000e-001, 3.19168e-001
-4.021280000000e-001, 3.17158e-001
-4.018720000000e-001, 3.17158e-001
-4.016160000000e-001, 3.19168e-001
-4.013600000000e-001, 3.21178e-001
-4.011040000000e-001, 3.17158e-001
-4.008480000000e-001, 3.19168e-001
-4.005920000000e-001, 3.17158e-001
-4.003360000000e-001, 3.19168e-001
-4.000800000000e-001, 3.17158e-001
-3.998240000000e-001, 3.19168e-001
-3.995680000000e-001, 3.19168e-001
-3.993120000000e-001, 3.19168e-001
-3.990560000000e-001, 3.21178e-001
-3.988000000000e-001, 3.19168e-001
-3.985440000000e-001, 3.19168e-001
-3.982880000000e-001, 3.17158e-001
-3.980320000000e-001, 3.19168e-001
-3.977760000000e-001, 3.19168e-001
-3.975200000000e-001, 3.19168e-001
-3.972640000000e-001, 3.19168e-001
-3.970080000000e-001, 3.19168e-001
-3.967520000000e-001, 3.19168e-001
-3.964960000000e-001, 3.19168e-001
-3.962400000000e-001, 3.19168e-001
-3.959840000000e-001, 3.19168e-001
-3.957280000000e-001, 3.17158e-001
-3.954720000000e-001, 3.21178e-001
-3.952160000000e-001, 3.21178e-001
-3.949600000000e-001, 3.17158e-001
-3.947040000000e-001, 3.19168e-001
-3.944480000000e-001, 3.19168e-001
-3.941920000000e-001, 3.19168e-001
-3.939360000000e-001, 3.19168e-001
-3.936800000000e-001, 3.19168e-001
-3.934240000000e-001, 3.19168e-001
-3.931680000000e-001, 3.21178e-001
-3.929120000000e-001, 3.15148e-001
-3.926560000000e-001, 3.19168e-001
-3.924000000000e-001, 3.17158e-001
-3.921440000000e-001, 3.17158e-001
-3.918880000000e-001, 3.19168e-001
-3.916320000000e-001, 3.19168e-001
-3.913760000000e-001, 3.19168e-001
-3.911200000000e-001, 3.19168e-001
-3.908640000000e-001, 3.19168e-001
-3.906080000000e-001, 3.17158e-001
-3.903520000000e-001, 3.17158e-001
-3.900960000000e-001, 3.17158e-001
-3.898400000000e-001, 3.19168e-001
-3.895840000000e-001, 3.17158e-001
-3.893280000000e-001, 3.15148e-001
-3.890720000000e-001, 3.17158e-001
-3.888160000000e-001, 3.15148e-001
-3.885600000000e-001, 3.13138e-001
-3.883040000000e-001, 3.13138e-001
-3.880480000000e-001, 3.11128e-001
-3.877920000000e-001, 3.09117e-001
-3.875360000000e-001, 3.11128e-001
-3.872800000000e-001, 3.13138e-001
-3.870240000000e-001, 3.13138e-001
-3.867680000000e-001, 3.13138e-001
-3.865120000000e-001, 3.13138e-001
-3.862560000000e-001, 3.15148e-001
-3.860000000000e-001, 3.15148e-001
-3.857440000000e-001, 3.15148e-001
-3.854880000000e-001, 3.15148e-001
-3.852320000000e-001, 3.15148e-001
-3.849760000000e-001, 3.13138e-001
-3.847200000000e-001, 3.15148e-001
-3.844640000000e-001, 3.15148e-001
-3.842080000000e-001, 3.13138e-001
-3.839520000000e-001, 3.11128e-001
-3.836960000000e-001, 3.13138e-001
-3.834400000000e-001, 3.09117e-001
-3.831840000000e-001, 3.09117e-001
-3.829280000000e-001, 3.09117e-001
-3.826720000000e-001, 3.05097e-001
-3.824160000000e-001, 3.05097e-001
-3.821600000000e-001, 3.01077e-001
-3.819040000000e-001, 2.99067e-001
-3.816480000000e-001, 2.95047e-001
-3.813920000000e-001, 2.95047e-001
-3.811360000000e-001, 2.89017e-001
-3.808800000000e-001, 2.89017e-001
-3.806240000000e-001, 2.87007e-001
-3.803680000000e-001, 2.91027e-001
-3.801120000000e-001, 2.91027e-001
-3.798560000000e-001, 2.93037e-001
-3.796000000000e-001, 2.95047e-001
-3.793440000000e-001, 2.97057e-001
-3.790880000000e-001, 3.01077e-001
-3.788320000000e-001, 3.03087e-001
-3.785760000000e-001, 3.07107e-001
-3.783200000000e-001, 3.09117e-001
-3.780640000000e-001, 3.09117e-001
-3.778080000000e-001, 3.11128e-001
-3.775520000000e-001, 3.13138e-001
-3.772960000000e-001, 3.13138e-001
-3.770400000000e-001, 3.15148e-001
-3.767840000000e-001, 3.13138e-001
-3.765280000000e-001, 3.15148e-001
-3.762720000000e-001, 3.15148e-001
-3.760160000000e-001, 3.17158e-001
-3.757600000000e-001, 3.15148e-001
-3.755040000000e-001, 3.17158e-001
-3.752480000000e-001, 3.17158e-001
-3.749920000000e-001, 3.15148e-001
-3.747360000000e-001, 3.15148e-001
