Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 18:29:09, Wednesday, March 19, 2025	0.453	1518.0	1391.5	-	91.7	0.0	3022.2	516.8	2992.0	489.5	57.3	1.7	1.7	0.0	0.0	3022.2	516.8	2992.0	489.5
18:29:10, Wednesday, March 19, 2025	1.140	1518.0	1391.5	-	91.7	0.0	3021.9	516.3	2992.0	495.0	57.4	1.7	1.7	0.0	0.0	3021.9	516.3	2992.0	495.0
18:29:10, Wednesday, March 19, 2025	1.796	1518.0	1391.5	-	91.7	0.0	3022.1	516.6	2992.0	500.5	57.4	1.7	1.7	0.0	0.0	3022.1	516.6	2992.0	500.5
18:29:11, Wednesday, March 19, 2025	2.500	1518.0	1391.5	-	91.7	0.0	3022.2	516.5	3003.0	489.5	57.5	1.7	1.7	0.0	0.0	3022.2	516.5	3003.0	489.5
18:29:12, Wednesday, March 19, 2025	3.125	1523.5	1391.5	-	91.3	0.0	3022.1	516.2	2970.0	489.5	57.2	1.7	1.7	0.0	0.0	3022.1	516.2	2970.0	489.5
18:29:12, Wednesday, March 19, 2025	3.734	1518.0	1391.5	-	91.7	0.0	3022.0	516.7	2997.5	484.0	57.2	1.7	1.7	0.0	0.0	3022.0	516.7	2997.5	484.0
18:29:13, Wednesday, March 19, 2025	4.390	1518.0	1391.5	-	91.7	0.0	3022.0	516.7	2992.0	495.0	57.2	1.7	1.7	0.0	0.0	3022.0	516.7	2992.0	495.0
18:29:14, Wednesday, March 19, 2025	5.046	1523.5	1391.5	-	91.3	0.0	3022.0	516.7	2970.0	495.0	57.4	1.7	1.7	0.0	0.0	3022.0	516.7	2970.0	495.0
18:29:14, Wednesday, March 19, 2025	5.750	1529.0	1391.5	-	91.0	0.0	3022.1	516.1	2975.5	489.5	57.4	1.7	1.7	0.0	0.0	3022.1	516.1	2975.5	489.5
18:29:15, Wednesday, March 19, 2025	6.421	1523.5	1391.5	-	91.3	0.0	3022.0	516.5	2975.5	484.0	57.4	1.7	1.7	0.0	0.0	3022.0	516.5	2975.5	484.0
18:29:16, Wednesday, March 19, 2025	7.078	1518.0	1391.5	-	91.7	0.0	3022.1	516.5	2986.5	473.0	57.2	1.7	1.7	0.0	0.0	3022.1	516.5	2986.5	473.0
18:29:16, Wednesday, March 19, 2025	7.687	1523.5	1391.5	-	91.3	0.0	3021.8	516.2	2992.0	484.0	57.6	1.7	1.7	0.0	0.0	3021.8	516.2	2992.0	484.0
18:29:17, Wednesday, March 19, 2025	8.328	1518.0	1391.5	-	91.7	0.0	3022.1	516.2	2992.0	489.5	57.3	1.7	1.7	0.0	0.0	3022.1	516.2	2992.0	489.5
18:29:18, Wednesday, March 19, 2025	8.984	1518.0	1391.5	-	91.7	0.0	3022.3	517.0	2975.5	484.0	57.3	1.7	1.7	0.0	0.0	3022.3	517.0	2975.5	484.0
18:29:18, Wednesday, March 19, 2025	9.640	1518.0	1391.5	-	91.7	0.0	3022.4	517.2	2992.0	484.0	57.3	1.7	1.7	0.0	0.0	3022.4	517.2	2992.0	484.0
