Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 17:53:33, Wednesday, March 19, 2025	0.234	1078.0	1138.5	-	94.7	0.0	445.0	-843.1	434.5	-858.0	95.7	1.7	1.7	0.0	0.0	445.0	-843.1	434.5	-858.0
17:53:33, Wednesday, March 19, 2025	0.906	1078.0	1144.0	-	94.2	0.0	445.1	-843.1	434.5	-858.0	95.8	1.7	1.7	0.0	0.0	445.1	-843.1	434.5	-858.0
17:53:34, Wednesday, March 19, 2025	1.578	1083.5	1138.5	-	95.2	0.0	445.1	-843.4	412.5	-863.5	95.5	1.7	1.7	0.0	0.0	445.1	-843.4	412.5	-863.5
17:53:35, Wednesday, March 19, 2025	2.234	1083.5	1144.0	-	94.7	0.0	445.4	-843.2	434.5	-858.0	95.6	1.7	1.7	0.0	0.0	445.4	-843.2	434.5	-858.0
17:53:35, Wednesday, March 19, 2025	2.937	1072.5	1144.0	-	93.8	0.0	445.2	-843.1	429.0	-863.5	95.6	1.7	1.7	0.0	0.0	445.2	-843.1	429.0	-863.5
17:53:36, Wednesday, March 19, 2025	3.609	1078.0	1138.5	-	94.7	0.0	445.3	-843.2	429.0	-863.5	95.5	1.7	1.7	0.0	0.0	445.3	-843.2	429.0	-863.5
17:53:37, Wednesday, March 19, 2025	4.218	1078.0	1144.0	-	94.2	0.0	445.7	-843.3	434.5	-852.5	95.4	1.7	1.7	0.0	0.0	445.7	-843.3	434.5	-852.5
17:53:37, Wednesday, March 19, 2025	4.875	1083.5	1138.5	-	95.2	0.0	445.3	-843.3	418.0	-858.0	95.5	1.7	1.7	0.0	0.0	445.3	-843.3	418.0	-858.0
17:53:38, Wednesday, March 19, 2025	5.515	1072.5	1138.5	-	94.2	0.0	445.4	-843.0	434.5	-852.5	95.5	1.7	1.7	0.0	0.0	445.4	-843.0	434.5	-852.5
17:53:38, Wednesday, March 19, 2025	6.218	1083.5	1144.0	-	94.7	0.0	445.6	-842.7	434.5	-858.0	95.5	1.7	1.7	0.0	0.0	445.6	-842.7	434.5	-858.0
17:53:39, Wednesday, March 19, 2025	6.828	1083.5	1144.0	-	94.7	0.0	445.5	-842.5	418.0	-858.0	95.6	1.7	1.7	0.0	0.0	445.5	-842.5	418.0	-858.0
