Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 17:42:51, Wednesday, March 19, 2025	0.579	1083.5	1138.5	-	95.2	0.0	93.3	-931.3	88.0	-968.0	91.2	1.7	1.7	0.0	0.0	93.3	-931.3	88.0	-968.0
17:42:52, Wednesday, March 19, 2025	1.235	1083.5	1138.5	-	95.2	0.0	93.5	-931.6	71.5	-973.5	91.2	1.6	1.7	0.0	0.0	93.5	-931.6	71.5	-973.5
17:42:52, Wednesday, March 19, 2025	1.907	1083.5	1138.5	-	95.2	0.0	93.2	-931.1	88.0	-968.0	91.1	1.7	1.7	0.0	0.0	93.2	-931.1	88.0	-968.0
17:42:53, Wednesday, March 19, 2025	2.516	1083.5	1138.5	-	95.2	0.0	92.6	-930.7	88.0	-968.0	91.1	1.7	1.7	0.0	0.0	92.6	-930.7	88.0	-968.0
17:42:54, Wednesday, March 19, 2025	3.157	1078.0	1138.5	-	94.7	0.0	92.6	-931.7	88.0	-968.0	91.0	1.6	1.7	0.0	0.0	92.6	-931.7	88.0	-968.0
17:42:54, Wednesday, March 19, 2025	3.750	1078.0	1133.0	-	95.1	0.0	93.1	-932.8	88.0	-968.0	91.4	1.6	1.7	0.0	0.0	93.1	-932.8	88.0	-968.0
17:42:55, Wednesday, March 19, 2025	4.375	1083.5	1138.5	-	95.2	0.0	93.1	-932.8	77.0	-973.5	91.4	1.7	1.7	0.0	0.0	93.1	-932.8	77.0	-973.5
17:42:55, Wednesday, March 19, 2025	5.000	1083.5	1138.5	-	95.2	0.0	92.6	-932.8	82.5	-957.0	91.1	1.7	1.7	0.0	0.0	92.6	-932.8	82.5	-957.0
17:42:56, Wednesday, March 19, 2025	5.625	1078.0	1144.0	-	94.2	0.0	92.2	-932.3	66.0	-973.5	90.9	1.6	1.7	0.0	0.0	92.2	-932.3	66.0	-973.5
17:42:57, Wednesday, March 19, 2025	6.204	1083.5	1138.5	-	95.2	0.0	92.1	-931.9	82.5	-957.0	90.9	1.7	1.7	0.0	0.0	92.1	-931.9	82.5	-957.0
17:42:57, Wednesday, March 19, 2025	6.813	1083.5	1138.5	-	95.2	0.0	92.3	-931.7	66.0	-962.5	91.4	1.7	1.7	0.0	0.0	92.3	-931.7	66.0	-962.5
17:42:58, Wednesday, March 19, 2025	7.407	1078.0	1133.0	-	95.1	0.0	91.8	-931.8	66.0	-973.5	91.2	1.6	1.7	0.0	0.0	91.8	-931.8	66.0	-973.5
17:42:59, Wednesday, March 19, 2025	8.016	1083.5	1144.0	-	94.7	0.0	92.5	-931.5	82.5	-957.0	90.9	1.7	1.7	0.0	0.0	92.5	-931.5	82.5	-957.0
17:42:59, Wednesday, March 19, 2025	8.610	1083.5	1144.0	-	94.7	0.0	92.8	-931.6	66.0	-973.5	91.1	1.7	1.7	0.0	0.0	92.8	-931.6	66.0	-973.5
17:43:00, Wednesday, March 19, 2025	9.219	1083.5	1144.0	-	94.7	0.0	92.9	-931.8	82.5	-957.0	91.1	1.7	1.7	0.0	0.0	92.9	-931.8	82.5	-957.0
17:43:00, Wednesday, March 19, 2025	9.829	1078.0	1144.0	-	94.2	0.0	92.2	-932.3	71.5	-973.5	91.2	1.6	1.7	0.0	0.0	92.2	-932.3	71.5	-973.5
17:43:01, Wednesday, March 19, 2025	10.438	1078.0	1133.0	-	95.1	0.0	92.1	-932.5	71.5	-973.5	91.3	1.6	1.7	0.0	0.0	92.1	-932.5	71.5	-973.5
17:43:02, Wednesday, March 19, 2025	11.047	1083.5	1138.5	-	95.2	0.0	92.9	-932.4	82.5	-957.0	90.9	1.6	1.7	0.0	0.0	92.9	-932.4	82.5	-957.0
17:43:02, Wednesday, March 19, 2025	11.641	1083.5	1144.0	-	94.7	0.0	93.1	-932.3	88.0	-968.0	91.2	1.7	1.7	0.0	0.0	93.1	-932.3	88.0	-968.0
17:43:03, Wednesday, March 19, 2025	12.204	1078.0	1133.0	-	95.1	0.0	92.6	-932.1	77.0	-973.5	91.2	1.6	1.7	0.0	0.0	92.6	-932.1	77.0	-973.5
17:43:03, Wednesday, March 19, 2025	12.829	1083.5	1138.5	-	95.2	0.0	92.7	-932.5	66.0	-973.5	91.2	1.6	1.7	0.0	0.0	92.7	-932.5	66.0	-973.5
17:43:04, Wednesday, March 19, 2025	13.438	1083.5	1144.0	-	94.7	0.0	92.5	-932.7	66.0	-973.5	91.2	1.6	1.7	0.0	0.0	92.5	-932.7	66.0	-973.5
17:43:05, Wednesday, March 19, 2025	14.063	1083.5	1144.0	-	94.7	0.0	92.7	-932.8	82.5	-957.0	91.0	1.6	1.7	0.0	0.0	92.7	-932.8	82.5	-957.0
17:43:05, Wednesday, March 19, 2025	14.688	1078.0	1138.5	-	94.7	0.0	92.8	-932.9	66.0	-973.5	91.2	1.6	1.7	0.0	0.0	92.8	-932.9	66.0	-973.5
17:43:06, Wednesday, March 19, 2025	15.282	1083.5	1138.5	-	95.2	0.0	93.2	-932.2	77.0	-973.5	91.3	1.7	1.7	0.0	0.0	93.2	-932.2	77.0	-973.5
