Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 17:47:03, Wednesday, March 19, 2025	0.359	1083.5	1149.5	-	94.3	0.0	75.0	-818.1	27.5	-731.5	92.3	1.6	1.7	0.0	0.0	75.0	-818.1	27.5	-731.5
17:47:04, Wednesday, March 19, 2025	1.015	1083.5	1149.5	-	94.3	0.0	75.6	-817.3	33.0	-731.5	92.2	1.6	1.7	0.0	0.0	75.6	-817.3	33.0	-731.5
17:47:04, Wednesday, March 19, 2025	1.640	1083.5	1149.5	-	94.3	0.0	75.9	-817.1	33.0	-731.5	92.3	1.6	1.7	0.0	0.0	75.9	-817.1	33.0	-731.5
17:47:05, Wednesday, March 19, 2025	2.312	1083.5	1149.5	-	94.3	0.0	76.5	-818.2	33.0	-726.0	92.0	1.6	1.7	0.0	0.0	76.5	-818.2	33.0	-726.0
17:47:06, Wednesday, March 19, 2025	2.890	1083.5	1149.5	-	94.3	0.0	75.0	-816.8	27.5	-726.0	92.5	1.6	1.7	0.0	0.0	75.0	-816.8	27.5	-726.0
17:47:06, Wednesday, March 19, 2025	3.468	1083.5	1149.5	-	94.3	0.0	75.5	-818.6	93.5	-759.0	92.6	1.6	1.7	0.0	0.0	75.5	-818.6	93.5	-759.0
17:47:07, Wednesday, March 19, 2025	4.047	1083.5	1149.5	-	94.3	0.0	76.0	-816.8	38.5	-726.0	92.2	1.6	1.7	0.0	0.0	76.0	-816.8	38.5	-726.0
17:47:07, Wednesday, March 19, 2025	4.609	1083.5	1149.5	-	94.3	0.0	75.7	-816.3	44.0	-720.5	92.4	1.6	1.7	0.0	0.0	75.7	-816.3	44.0	-720.5
17:47:08, Wednesday, March 19, 2025	5.218	1083.5	1149.5	-	94.3	0.0	75.5	-816.7	38.5	-726.0	92.4	1.6	1.7	0.0	0.0	75.5	-816.7	38.5	-726.0
17:47:09, Wednesday, March 19, 2025	5.781	1083.5	1149.5	-	94.3	0.0	75.1	-817.2	77.0	-759.0	92.2	1.6	1.7	0.0	0.0	75.1	-817.2	77.0	-759.0
17:47:09, Wednesday, March 19, 2025	6.328	1083.5	1149.5	-	94.3	0.0	75.0	-818.0	38.5	-720.5	92.3	1.6	1.7	0.0	0.0	75.0	-818.0	38.5	-720.5
17:47:10, Wednesday, March 19, 2025	6.922	1083.5	1149.5	-	94.3	0.0	74.3	-817.6	33.0	-731.5	92.3	1.6	1.7	0.0	0.0	74.3	-817.6	33.0	-731.5
17:47:10, Wednesday, March 19, 2025	7.500	1083.5	1149.5	-	94.3	0.0	74.8	-818.3	44.0	-726.0	92.1	1.6	1.7	0.0	0.0	74.8	-818.3	44.0	-726.0
17:47:11, Wednesday, March 19, 2025	8.078	1083.5	1149.5	-	94.3	0.0	74.6	-818.9	22.0	-731.5	91.9	1.6	1.7	0.0	0.0	74.6	-818.9	22.0	-731.5
17:47:11, Wednesday, March 19, 2025	8.640	1083.5	1149.5	-	94.3	0.0	74.9	-819.1	38.5	-720.5	92.0	1.6	1.7	0.0	0.0	74.9	-819.1	38.5	-720.5
17:47:12, Wednesday, March 19, 2025	9.281	1083.5	1149.5	-	94.3	0.0	74.4	-818.8	38.5	-720.5	92.0	1.6	1.7	0.0	0.0	74.4	-818.8	38.5	-720.5
17:47:13, Wednesday, March 19, 2025	9.859	1083.5	1149.5	-	94.3	0.0	74.3	-818.9	77.0	-770.0	92.1	1.6	1.7	0.0	0.0	74.3	-818.9	77.0	-770.0
17:47:13, Wednesday, March 19, 2025	10.453	1083.5	1149.5	-	94.3	0.0	74.1	-818.8	44.0	-720.5	92.0	1.6	1.7	0.0	0.0	74.1	-818.8	44.0	-720.5
17:47:14, Wednesday, March 19, 2025	11.047	1083.5	1149.5	-	94.3	0.0	74.5	-818.9	38.5	-726.0	91.6	1.6	1.7	0.0	0.0	74.5	-818.9	38.5	-726.0
17:47:14, Wednesday, March 19, 2025	11.656	1083.5	1149.5	-	94.3	0.0	74.6	-818.8	27.5	-731.5	92.1	1.6	1.7	0.0	0.0	74.6	-818.8	27.5	-731.5
17:47:15, Wednesday, March 19, 2025	12.234	1083.5	1149.5	-	94.3	0.0	74.8	-818.9	44.0	-720.5	92.0	1.6	1.7	0.0	0.0	74.8	-818.9	44.0	-720.5
