Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 17:57:10, Wednesday, March 19, 2025	0.109	1089.0	1122.0	-	97.1	0.0	461.6	-863.8	473.0	-902.0	94.8	1.7	1.7	0.0	0.0	461.6	-863.8	473.0	-902.0
17:57:11, Wednesday, March 19, 2025	0.812	1094.5	1122.0	-	97.5	0.0	461.9	-863.8	462.0	-913.0	95.0	1.7	1.7	0.0	0.0	461.9	-863.8	462.0	-913.0
17:57:11, Wednesday, March 19, 2025	1.406	1094.5	1122.0	-	97.5	0.0	461.9	-864.0	462.0	-913.0	94.9	1.7	1.7	0.0	0.0	461.9	-864.0	462.0	-913.0
17:57:12, Wednesday, March 19, 2025	2.000	1089.0	1122.0	-	97.1	0.0	461.8	-864.0	467.5	-896.5	95.3	1.7	1.7	0.0	0.0	461.8	-864.0	467.5	-896.5
17:57:12, Wednesday, March 19, 2025	2.656	1094.5	1122.0	-	97.5	0.0	461.5	-864.1	467.5	-896.5	95.2	1.7	1.7	0.0	0.0	461.5	-864.1	467.5	-896.5
17:57:13, Wednesday, March 19, 2025	3.250	1094.5	1122.0	-	97.5	0.0	461.6	-864.0	467.5	-896.5	95.2	1.7	1.7	0.0	0.0	461.6	-864.0	467.5	-896.5
17:57:14, Wednesday, March 19, 2025	3.828	1094.5	1122.0	-	97.5	0.0	462.0	-863.8	478.5	-896.5	95.1	1.7	1.7	0.0	0.0	462.0	-863.8	478.5	-896.5
17:57:14, Wednesday, March 19, 2025	4.515	1089.0	1122.0	-	97.1	0.0	461.8	-864.1	473.0	-896.5	95.1	1.7	1.7	0.0	0.0	461.8	-864.1	473.0	-896.5
17:57:15, Wednesday, March 19, 2025	5.093	1094.5	1122.0	-	97.5	0.0	462.3	-864.3	467.5	-907.5	94.9	1.7	1.7	0.0	0.0	462.3	-864.3	467.5	-907.5
17:57:15, Wednesday, March 19, 2025	5.640	1094.5	1122.0	-	97.5	0.0	462.0	-864.8	467.5	-907.5	95.2	1.7	1.7	0.0	0.0	462.0	-864.8	467.5	-907.5
17:57:16, Wednesday, March 19, 2025	6.250	1094.5	1122.0	-	97.5	0.0	461.4	-864.5	473.0	-902.0	95.3	1.7	1.7	0.0	0.0	461.4	-864.5	473.0	-902.0
17:57:17, Wednesday, March 19, 2025	6.890	1094.5	1122.0	-	97.5	0.0	461.4	-864.9	467.5	-896.5	95.2	1.7	1.7	0.0	0.0	461.4	-864.9	467.5	-896.5
