Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 17:48:59, Wednesday, March 19, 2025	0.609	1089.0	1138.5	-	95.7	0.0	123.4	-820.2	104.5	-764.5	93.4	1.7	1.7	0.0	0.0	123.4	-820.2	104.5	-764.5
17:48:59, Wednesday, March 19, 2025	1.266	1089.0	1138.5	-	95.7	0.0	122.6	-820.1	104.5	-764.5	93.2	1.7	1.7	0.0	0.0	122.6	-820.1	104.5	-764.5
17:49:00, Wednesday, March 19, 2025	1.891	1089.0	1138.5	-	95.7	0.0	122.8	-820.3	104.5	-764.5	93.0	1.7	1.7	0.0	0.0	122.8	-820.3	104.5	-764.5
17:49:00, Wednesday, March 19, 2025	2.563	1089.0	1138.5	-	95.7	0.0	123.2	-820.5	82.5	-764.5	93.0	1.7	1.7	0.0	0.0	123.2	-820.5	82.5	-764.5
17:49:01, Wednesday, March 19, 2025	3.141	1089.0	1144.0	-	95.2	0.0	123.2	-819.9	93.5	-770.0	93.3	1.7	1.7	0.0	0.0	123.2	-819.9	93.5	-770.0
17:49:02, Wednesday, March 19, 2025	3.734	1089.0	1138.5	-	95.7	0.0	122.7	-820.2	104.5	-759.0	93.5	1.7	1.7	0.0	0.0	122.7	-820.2	104.5	-759.0
17:49:02, Wednesday, March 19, 2025	4.344	1089.0	1138.5	-	95.7	0.0	122.7	-820.4	82.5	-764.5	93.0	1.7	1.7	0.0	0.0	122.7	-820.4	82.5	-764.5
17:49:03, Wednesday, March 19, 2025	4.969	1089.0	1138.5	-	95.7	0.0	122.9	-820.4	104.5	-764.5	93.4	1.7	1.7	0.0	0.0	122.9	-820.4	104.5	-764.5
17:49:03, Wednesday, March 19, 2025	5.531	1089.0	1138.5	-	95.7	0.0	122.9	-820.6	82.5	-764.5	93.1	1.7	1.7	0.0	0.0	122.9	-820.6	82.5	-764.5
17:49:04, Wednesday, March 19, 2025	6.109	1089.0	1144.0	-	95.2	0.0	123.2	-820.8	93.5	-770.0	93.3	1.7	1.7	0.0	0.0	123.2	-820.8	93.5	-770.0
17:49:05, Wednesday, March 19, 2025	6.766	1089.0	1138.5	-	95.7	0.0	122.9	-820.6	82.5	-770.0	93.2	1.7	1.7	0.0	0.0	122.9	-820.6	82.5	-770.0
17:49:05, Wednesday, March 19, 2025	7.328	1089.0	1144.0	-	95.2	0.0	122.4	-820.3	104.5	-759.0	93.2	1.7	1.7	0.0	0.0	122.4	-820.3	104.5	-759.0
17:49:06, Wednesday, March 19, 2025	7.891	1089.0	1144.0	-	95.2	0.0	122.9	-820.6	93.5	-770.0	93.1	1.7	1.7	0.0	0.0	122.9	-820.6	93.5	-770.0
17:49:06, Wednesday, March 19, 2025	8.469	1089.0	1138.5	-	95.7	0.0	122.8	-820.6	104.5	-759.0	93.1	1.7	1.7	0.0	0.0	122.8	-820.6	104.5	-759.0
17:49:07, Wednesday, March 19, 2025	9.094	1089.0	1144.0	-	95.2	0.0	123.1	-820.7	104.5	-759.0	93.2	1.7	1.7	0.0	0.0	123.1	-820.7	104.5	-759.0
17:49:08, Wednesday, March 19, 2025	9.656	1089.0	1144.0	-	95.2	0.0	122.9	-820.8	104.5	-759.0	93.2	1.7	1.7	0.0	0.0	122.9	-820.8	104.5	-759.0
17:49:08, Wednesday, March 19, 2025	10.219	1089.0	1144.0	-	95.2	0.0	123.1	-821.1	104.5	-759.0	92.9	1.7	1.7	0.0	0.0	123.1	-821.1	104.5	-759.0
17:49:09, Wednesday, March 19, 2025	10.891	1089.0	1144.0	-	95.2	0.0	122.8	-820.6	104.5	-759.0	92.9	1.7	1.7	0.0	0.0	122.8	-820.6	104.5	-759.0
17:49:09, Wednesday, March 19, 2025	11.453	1089.0	1138.5	-	95.7	0.0	123.3	-819.9	88.0	-759.0	93.1	1.7	1.7	0.0	0.0	123.3	-819.9	88.0	-759.0
17:49:10, Wednesday, March 19, 2025	12.031	1089.0	1138.5	-	95.7	0.0	123.1	-820.1	88.0	-759.0	93.1	1.7	1.7	0.0	0.0	123.1	-820.1	88.0	-759.0
17:49:10, Wednesday, March 19, 2025	12.609	1089.0	1138.5	-	95.7	0.0	122.8	-820.0	93.5	-770.0	92.9	1.7	1.7	0.0	0.0	122.8	-820.0	93.5	-770.0
17:49:11, Wednesday, March 19, 2025	13.219	1089.0	1144.0	-	95.2	0.0	123.3	-820.4	104.5	-759.0	93.2	1.7	1.7	0.0	0.0	123.3	-820.4	104.5	-759.0
17:49:12, Wednesday, March 19, 2025	13.813	1089.0	1144.0	-	95.2	0.0	123.5	-820.9	104.5	-759.0	93.0	1.7	1.7	0.0	0.0	123.5	-820.9	104.5	-759.0
17:49:12, Wednesday, March 19, 2025	14.406	1089.0	1138.5	-	95.7	0.0	123.2	-820.1	93.5	-770.0	93.2	1.7	1.7	0.0	0.0	123.2	-820.1	93.5	-770.0
17:49:13, Wednesday, March 19, 2025	15.047	1089.0	1138.5	-	95.7	0.0	123.3	-820.2	104.5	-759.0	92.8	1.7	1.7	0.0	0.0	123.3	-820.2	104.5	-759.0
17:49:14, Wednesday, March 19, 2025	15.625	1089.0	1144.0	-	95.2	0.0	123.1	-820.5	82.5	-770.0	92.9	1.7	1.7	0.0	0.0	123.1	-820.5	82.5	-770.0
17:49:14, Wednesday, March 19, 2025	16.188	1089.0	1144.0	-	95.2	0.0	123.2	-820.3	104.5	-759.0	93.0	1.7	1.7	0.0	0.0	123.2	-820.3	104.5	-759.0
17:49:15, Wednesday, March 19, 2025	16.813	1089.0	1138.5	-	95.7	0.0	123.1	-819.8	88.0	-759.0	93.1	1.7	1.7	0.0	0.0	123.1	-819.8	88.0	-759.0
17:49:15, Wednesday, March 19, 2025	17.391	1089.0	1138.5	-	95.7	0.0	123.1	-819.8	82.5	-770.0	93.0	1.7	1.7	0.0	0.0	123.1	-819.8	82.5	-770.0
17:49:16, Wednesday, March 19, 2025	17.953	1089.0	1144.0	-	95.2	0.0	123.0	-819.9	104.5	-759.0	92.7	1.7	1.7	0.0	0.0	123.0	-819.9	104.5	-759.0
17:49:16, Wednesday, March 19, 2025	18.531	1089.0	1138.5	-	95.7	0.0	123.2	-819.8	82.5	-770.0	92.9	1.7	1.7	0.0	0.0	123.2	-819.8	82.5	-770.0
17:49:17, Wednesday, March 19, 2025	19.203	1089.0	1144.0	-	95.2	0.0	123.4	-820.1	88.0	-759.0	93.0	1.7	1.7	0.0	0.0	123.4	-820.1	88.0	-759.0
17:49:18, Wednesday, March 19, 2025	19.781	1089.0	1138.5	-	95.7	0.0	123.5	-820.2	104.5	-759.0	92.8	1.7	1.7	0.0	0.0	123.5	-820.2	104.5	-759.0
17:49:18, Wednesday, March 19, 2025	20.328	1089.0	1138.5	-	95.7	0.0	123.7	-820.8	88.0	-759.0	93.1	1.7	1.7	0.0	0.0	123.7	-820.8	88.0	-759.0
17:49:19, Wednesday, March 19, 2025	20.969	1083.5	1138.5	-	95.2	0.0	123.6	-820.2	104.5	-759.0	93.0	1.7	1.7	0.0	0.0	123.6	-820.2	104.5	-759.0
17:49:19, Wednesday, March 19, 2025	21.563	1089.0	1138.5	-	95.7	0.0	123.8	-820.5	104.5	-759.0	93.1	1.7	1.7	0.0	0.0	123.8	-820.5	104.5	-759.0
17:49:20, Wednesday, March 19, 2025	22.141	1089.0	1138.5	-	95.7	0.0	123.3	-820.0	104.5	-759.0	92.6	1.7	1.7	0.0	0.0	123.3	-820.0	104.5	-759.0
17:49:21, Wednesday, March 19, 2025	22.719	1089.0	1144.0	-	95.2	0.0	123.3	-820.1	104.5	-759.0	93.1	1.7	1.7	0.0	0.0	123.3	-820.1	104.5	-759.0
17:49:21, Wednesday, March 19, 2025	23.406	1089.0	1144.0	-	95.2	0.0	123.1	-820.2	88.0	-770.0	92.9	1.7	1.7	0.0	0.0	123.1	-820.2	88.0	-770.0
17:49:22, Wednesday, March 19, 2025	23.969	1089.0	1144.0	-	95.2	0.0	123.0	-820.6	104.5	-759.0	93.0	1.7	1.7	0.0	0.0	123.0	-820.6	104.5	-759.0
17:49:22, Wednesday, March 19, 2025	24.563	1089.0	1144.0	-	95.2	0.0	123.4	-820.6	104.5	-759.0	92.8	1.7	1.7	0.0	0.0	123.4	-820.6	104.5	-759.0
17:49:23, Wednesday, March 19, 2025	25.203	1089.0	1144.0	-	95.2	0.0	124.0	-820.5	104.5	-759.0	92.8	1.7	1.7	0.0	0.0	124.0	-820.5	104.5	-759.0
17:49:24, Wednesday, March 19, 2025	25.766	1089.0	1144.0	-	95.2	0.0	123.5	-820.8	104.5	-759.0	93.0	1.7	1.7	0.0	0.0	123.5	-820.8	104.5	-759.0
17:49:24, Wednesday, March 19, 2025	26.344	1089.0	1138.5	-	95.7	0.0	123.7	-820.1	88.0	-770.0	92.9	1.7	1.7	0.0	0.0	123.7	-820.1	88.0	-770.0
17:49:25, Wednesday, March 19, 2025	26.906	1083.5	1138.5	-	95.2	0.0	124.1	-820.0	104.5	-759.0	92.7	1.6	1.7	0.0	0.0	124.1	-820.0	104.5	-759.0
17:49:25, Wednesday, March 19, 2025	27.547	1089.0	1138.5	-	95.7	0.0	124.2	-820.3	88.0	-770.0	92.8	1.7	1.7	0.0	0.0	124.2	-820.3	88.0	-770.0
17:49:26, Wednesday, March 19, 2025	28.125	1083.5	1138.5	-	95.2	0.0	124.4	-820.0	104.5	-759.0	93.0	1.6	1.7	0.0	0.0	124.4	-820.0	104.5	-759.0
17:49:27, Wednesday, March 19, 2025	28.703	1089.0	1144.0	-	95.2	0.0	123.9	-819.8	104.5	-759.0	93.0	1.7	1.7	0.0	0.0	123.9	-819.8	104.5	-759.0
17:49:27, Wednesday, March 19, 2025	29.344	1089.0	1138.5	-	95.7	0.0	123.4	-819.4	82.5	-770.0	93.1	1.7	1.7	0.0	0.0	123.4	-819.4	82.5	-770.0
17:49:28, Wednesday, March 19, 2025	29.938	1089.0	1138.5	-	95.7	0.0	123.5	-819.4	88.0	-770.0	92.9	1.7	1.7	0.0	0.0	123.5	-819.4	88.0	-770.0
17:49:28, Wednesday, March 19, 2025	30.516	1089.0	1138.5	-	95.7	0.0	123.5	-819.4	88.0	-770.0	92.9	1.7	1.7	0.0	0.0	123.5	-819.4	88.0	-770.0
