Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 18:11:58, Wednesday, March 19, 2025	0.391	1138.5	1177.0	-	96.7	0.0	-274.1	-382.4	-258.5	-401.5	85.0	1.6	1.7	0.0	0.0	-274.1	-382.4	-258.5	-401.5
18:11:59, Wednesday, March 19, 2025	1.063	1138.5	1177.0	-	96.7	0.0	-279.2	-380.7	-247.5	-401.5	84.3	1.6	1.7	0.0	0.0	-279.2	-380.7	-247.5	-401.5
18:11:59, Wednesday, March 19, 2025	1.656	1138.5	1182.5	-	96.3	0.0	-279.2	-380.3	-253.0	-407.0	84.6	1.6	1.7	0.0	0.0	-279.2	-380.3	-253.0	-407.0
18:12:00, Wednesday, March 19, 2025	2.360	1138.5	1182.5	-	96.3	0.0	-280.9	-385.2	-280.5	-423.5	84.5	1.6	1.7	0.0	0.0	-280.9	-385.2	-280.5	-423.5
18:12:01, Wednesday, March 19, 2025	2.953	1144.0	1182.5	-	96.7	0.0	-278.0	-383.1	-253.0	-407.0	84.3	1.6	1.7	0.0	0.0	-278.0	-383.1	-253.0	-407.0
18:12:01, Wednesday, March 19, 2025	3.547	1138.5	1177.0	-	96.7	0.0	-276.6	-380.3	-247.5	-401.5	84.1	1.6	1.7	0.0	0.0	-276.6	-380.3	-247.5	-401.5
18:12:02, Wednesday, March 19, 2025	4.156	1138.5	1182.5	-	96.3	0.0	-276.5	-382.8	-275.0	-412.5	84.5	1.6	1.7	0.0	0.0	-276.5	-382.8	-275.0	-412.5
18:12:03, Wednesday, March 19, 2025	4.797	1138.5	1177.0	-	96.7	0.0	-275.9	-385.6	-269.5	-418.0	84.6	1.6	1.7	0.0	0.0	-275.9	-385.6	-269.5	-418.0
18:12:03, Wednesday, March 19, 2025	5.375	1144.0	1182.5	-	96.7	0.0	-277.8	-385.0	-258.5	-412.5	84.5	1.6	1.7	0.0	0.0	-277.8	-385.0	-258.5	-412.5
18:12:04, Wednesday, March 19, 2025	5.969	1138.5	1182.5	-	96.3	0.0	-277.8	-382.6	-253.0	-401.5	84.4	1.6	1.7	0.0	0.0	-277.8	-382.6	-253.0	-401.5
