% Moku:Go Oscilloscope
% Channel A (Input 2), DC coupling, 1 x probe attenuation
% Channel B (Input 1), DC coupling, 1 x probe attenuation
% Time span 480.9 ms, time offset 3.629 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-06-23 T 17:01:13 +0200
% Time (s), Channel A (V), Channel B (V)
-2.7556976000e-01, 6.3996091224e+00, 3.3463606867e-01
-2.7553608000e-01, 6.3996091224e+00, 3.3463606867e-01
-2.7550240000e-01, 6.3996091224e+00, 3.3707866771e-01
-2.7546872000e-01, 6.3996091224e+00, 3.3463606867e-01
-2.7543504000e-01, 6.3873961279e+00, 3.3707866771e-01
-2.7540136000e-01, 6.3873961279e+00, 3.3463606867e-01
-2.7536768000e-01, 6.3751831334e+00, 3.3463606867e-01
-2.7533400000e-01, 6.3751831334e+00, 3.3707866771e-01
-2.7530032000e-01, 6.3873961279e+00, 3.3707866771e-01
-2.7526664000e-01, 6.3751831334e+00, 3.3707866771e-01
-2.7523296000e-01, 6.3751831334e+00, 3.3463606867e-01
-2.7519928000e-01, 6.3507571444e+00, 3.3463606867e-01
-2.7516560000e-01, 6.3507571444e+00, 3.3463606867e-01
-2.7513192000e-01, 6.3629701389e+00, 3.3707866771e-01
-2.7509824000e-01, 6.3629701389e+00, 3.3463606867e-01
-2.7506456000e-01, 6.3507571444e+00, 3.3707866771e-01
-2.7503088000e-01, 6.3385441499e+00, 3.3463606867e-01
-2.7499720000e-01, 6.3385441499e+00, 3.3463606867e-01
-2.7496352000e-01, 6.3507571444e+00, 3.3463606867e-01
-2.7492984000e-01, 6.3385441499e+00, 3.3707866771e-01
-2.7489616000e-01, 6.3507571444e+00, 3.3463606867e-01
-2.7486248000e-01, 6.3385441499e+00, 3.3463606867e-01
-2.7482880000e-01, 6.3385441499e+00, 3.3707866771e-01
-2.7479512000e-01, 6.3263311554e+00, 3.3463606867e-01
-2.7476144000e-01, 6.3263311554e+00, 3.3463606867e-01
-2.7472776000e-01, 6.3263311554e+00, 3.3463606867e-01
-2.7469408000e-01, 6.3263311554e+00, 3.3463606867e-01
-2.7466040000e-01, 6.3263311554e+00, 3.3463606867e-01
-2.7462672000e-01, 6.3141181609e+00, 3.3463606867e-01
-2.7459304000e-01, 6.3141181609e+00, 3.3463606867e-01
-2.7455936000e-01, 6.3141181609e+00, 3.3707866771e-01
-2.7452568000e-01, 6.3141181609e+00, 3.3707866771e-01
-2.7449200000e-01, 6.3019051664e+00, 3.3463606867e-01
-2.7445832000e-01, 6.3019051664e+00, 3.3707866771e-01
-2.7442464000e-01, 6.3019051664e+00, 3.3463606867e-01
-2.7439096000e-01, 6.3019051664e+00, 3.3219346963e-01
-2.7435728000e-01, 6.2896921718e+00, 3.3707866771e-01
-2.7432360000e-01, 6.2896921718e+00, 3.3463606867e-01
-2.7428992000e-01, 6.2896921718e+00, 3.3707866771e-01
-2.7425624000e-01, 6.2896921718e+00, 3.3463606867e-01
-2.7422256000e-01, 6.2896921718e+00, 3.3707866771e-01
-2.7418888000e-01, 6.2774791773e+00, 3.3219346963e-01
-2.7415520000e-01, 6.2774791773e+00, 3.3707866771e-01
-2.7412152000e-01, 6.2774791773e+00, 3.3463606867e-01
-2.7408784000e-01, 6.2652661828e+00, 3.3707866771e-01
-2.7405416000e-01, 6.2652661828e+00, 3.3463606867e-01
-2.7402048000e-01, 6.2652661828e+00, 3.3463606867e-01
-2.7398680000e-01, 6.2652661828e+00, 3.3463606867e-01
-2.7395312000e-01, 6.2652661828e+00, 3.3463606867e-01
-2.7391944000e-01, 6.2530531883e+00, 3.3463606867e-01
-2.7388576000e-01, 6.2408401938e+00, 3.3707866771e-01
-2.7385208000e-01, 6.2530531883e+00, 3.3463606867e-01
-2.7381840000e-01, 6.2530531883e+00, 3.3707866771e-01
-2.7378472000e-01, 6.2530531883e+00, 3.3707866771e-01
-2.7375104000e-01, 6.2408401938e+00, 3.3463606867e-01
-2.7371736000e-01, 6.2408401938e+00, 3.3463606867e-01
-2.7368368000e-01, 6.2408401938e+00, 3.3463606867e-01
-2.7365000000e-01, 6.2408401938e+00, 3.3707866771e-01
-2.7361632000e-01, 6.2286271993e+00, 3.3463606867e-01
-2.7358264000e-01, 6.2286271993e+00, 3.3707866771e-01
-2.7354896000e-01, 6.2286271993e+00, 3.3463606867e-01
-2.7351528000e-01, 6.2164142048e+00, 3.3463606867e-01
-2.7348160000e-01, 6.2286271993e+00, 3.3463606867e-01
-2.7344792000e-01, 6.2164142048e+00, 3.3463606867e-01
-2.7341424000e-01, 6.2164142048e+00, 3.3707866771e-01
-2.7338056000e-01, 6.2164142048e+00, 3.3463606867e-01
-2.7334688000e-01, 6.2042012103e+00, 3.3463606867e-01
-2.7331320000e-01, 6.2164142048e+00, 3.3463606867e-01
-2.7327952000e-01, 6.2042012103e+00, 3.3707866771e-01
-2.7324584000e-01, 6.2042012103e+00, 3.3463606867e-01
-2.7321216000e-01, 6.1919882158e+00, 3.3463606867e-01
-2.7317848000e-01, 6.1919882158e+00, 3.3707866771e-01
-2.7314480000e-01, 6.2042012103e+00, 3.3463606867e-01
-2.7311112000e-01, 6.1919882158e+00, 3.3463606867e-01
-2.7307744000e-01, 6.1797752213e+00, 3.3463606867e-01
-2.7304376000e-01, 6.1797752213e+00, 3.3707866771e-01
-2.7301008000e-01, 6.1797752213e+00, 3.3707866771e-01
-2.7297640000e-01, 6.1797752213e+00, 3.3707866771e-01
-2.7294272000e-01, 6.1919882158e+00, 3.3707866771e-01
-2.7290904000e-01, 6.1797752213e+00, 3.3707866771e-01
-2.7287536000e-01, 6.1797752213e+00, 3.3707866771e-01
-2.7284168000e-01, 6.1675622268e+00, 3.3463606867e-01
-2.7280800000e-01, 6.1675622268e+00, 3.3707866771e-01
-2.7277432000e-01, 6.1553492323e+00, 3.3707866771e-01
-2.7274064000e-01, 6.1675622268e+00, 3.3707866771e-01
-2.7270696000e-01, 6.1553492323e+00, 3.3463606867e-01
-2.7267328000e-01, 6.1553492323e+00, 3.3463606867e-01
-2.7263960000e-01, 6.1553492323e+00, 3.3463606867e-01
-2.7260592000e-01, 6.1553492323e+00, 3.3707866771e-01
-2.7257224000e-01, 6.1553492323e+00, 3.3707866771e-01
-2.7253856000e-01, 6.1431362377e+00, 3.3463606867e-01
-2.7250488000e-01, 6.1431362377e+00, 3.3707866771e-01
-2.7247120000e-01, 6.1431362377e+00, 3.3463606867e-01
-2.7243752000e-01, 6.1309232432e+00, 3.3463606867e-01
-2.7240384000e-01, 6.1431362377e+00, 3.3219346963e-01
-2.7237016000e-01, 6.1309232432e+00, 3.3707866771e-01
-2.7233648000e-01, 6.1309232432e+00, 3.3707866771e-01
-2.7230280000e-01, 6.1309232432e+00, 3.3463606867e-01
-2.7226912000e-01, 6.1187102487e+00, 3.3707866771e-01
-2.7223544000e-01, 6.1187102487e+00, 3.3707866771e-01
-2.7220176000e-01, 6.1309232432e+00, 3.3707866771e-01
-2.7216808000e-01, 6.1187102487e+00, 3.3463606867e-01
-2.7213440000e-01, 6.1064972542e+00, 3.3707866771e-01
-2.7210072000e-01, 6.1187102487e+00, 3.3707866771e-01
-2.7206704000e-01, 6.1064972542e+00, 3.3463606867e-01
-2.7203336000e-01, 6.1064972542e+00, 3.3707866771e-01
-2.7199968000e-01, 6.1064972542e+00, 3.3463606867e-01
-2.7196600000e-01, 6.0942842597e+00, 3.3463606867e-01
-2.7193232000e-01, 6.0942842597e+00, 3.3463606867e-01
-2.7189864000e-01, 6.0942842597e+00, 3.3463606867e-01
-2.7186496000e-01, 6.0820712652e+00, 3.3707866771e-01
-2.7183128000e-01, 6.0942842597e+00, 3.3707866771e-01
-2.7179760000e-01, 6.0942842597e+00, 3.3463606867e-01
-2.7176392000e-01, 6.0942842597e+00, 3.3707866771e-01
-2.7173024000e-01, 6.0942842597e+00, 3.3707866771e-01
-2.7169656000e-01, 6.0820712652e+00, 3.3707866771e-01
-2.7166288000e-01, 6.0820712652e+00, 3.3707866771e-01
-2.7162920000e-01, 6.0820712652e+00, 3.3463606867e-01
-2.7159552000e-01, 6.0576452762e+00, 3.3463606867e-01
-2.7156184000e-01, 6.0698582707e+00, 3.3463606867e-01
-2.7152816000e-01, 6.0576452762e+00, 3.3463606867e-01
-2.7149448000e-01, 6.0576452762e+00, 3.3707866771e-01
-2.7146080000e-01, 6.0698582707e+00, 3.3463606867e-01
-2.7142712000e-01, 6.0576452762e+00, 3.3463606867e-01
-2.7139344000e-01, 6.0576452762e+00, 3.3707866771e-01
-2.7135976000e-01, 6.0454322817e+00, 3.3463606867e-01
-2.7132608000e-01, 6.0454322817e+00, 3.3463606867e-01
-2.7129240000e-01, 6.0576452762e+00, 3.3707866771e-01
-2.7125872000e-01, 6.0332192872e+00, 3.3463606867e-01
-2.7122504000e-01, 6.0454322817e+00, 3.3463606867e-01
-2.7119136000e-01, 6.0332192872e+00, 3.3707866771e-01
-2.7115768000e-01, 6.0332192872e+00, 3.3707866771e-01
-2.7112400000e-01, 6.0332192872e+00, 3.3707866771e-01
-2.7109032000e-01, 6.0332192872e+00, 3.3463606867e-01
-2.7105664000e-01, 6.0332192872e+00, 3.3463606867e-01
-2.7102296000e-01, 6.0210062927e+00, 3.3463606867e-01
-2.7098928000e-01, 6.0087932982e+00, 3.3463606867e-01
-2.7095560000e-01, 6.0332192872e+00, 3.3707866771e-01
-2.7092192000e-01, 6.0087932982e+00, 3.3463606867e-01
-2.7088824000e-01, 6.0087932982e+00, 3.3463606867e-01
-2.7085456000e-01, 6.0087932982e+00, 3.3707866771e-01
-2.7082088000e-01, 5.9965803036e+00, 3.3707866771e-01
-2.7078720000e-01, 6.0087932982e+00, 3.3463606867e-01
-2.7075352000e-01, 5.9965803036e+00, 3.3463606867e-01
-2.7071984000e-01, 5.9965803036e+00, 3.3463606867e-01
-2.7068616000e-01, 5.9965803036e+00, 3.3463606867e-01
-2.7065248000e-01, 5.9965803036e+00, 3.3707866771e-01
-2.7061880000e-01, 5.9965803036e+00, 3.3707866771e-01
-2.7058512000e-01, 5.9843673091e+00, 3.3707866771e-01
-2.7055144000e-01, 5.9843673091e+00, 3.3463606867e-01
-2.7051776000e-01, 5.9843673091e+00, 3.3463606867e-01
-2.7048408000e-01, 5.9843673091e+00, 3.3463606867e-01
-2.7045040000e-01, 5.9965803036e+00, 3.3463606867e-01
-2.7041672000e-01, 5.9843673091e+00, 3.3463606867e-01
-2.7038304000e-01, 5.9721543146e+00, 3.3463606867e-01
-2.7034936000e-01, 5.9721543146e+00, 3.3463606867e-01
-2.7031568000e-01, 5.9721543146e+00, 3.3463606867e-01
-2.7028200000e-01, 5.9599413201e+00, 3.3463606867e-01
-2.7024832000e-01, 5.9599413201e+00, 3.3463606867e-01
-2.7021464000e-01, 5.9599413201e+00, 3.3463606867e-01
-2.7018096000e-01, 5.9477283256e+00, 3.3463606867e-01
-2.7014728000e-01, 5.9477283256e+00, 3.3463606867e-01
-2.7011360000e-01, 5.9599413201e+00, 3.3707866771e-01
-2.7007992000e-01, 5.9477283256e+00, 3.3707866771e-01
-2.7004624000e-01, 5.9477283256e+00, 3.3463606867e-01
-2.7001256000e-01, 5.9355153311e+00, 3.3707866771e-01
-2.6997888000e-01, 5.9233023366e+00, 3.3707866771e-01
-2.6994520000e-01, 5.9477283256e+00, 3.3463606867e-01
-2.6991152000e-01, 5.9355153311e+00, 3.3463606867e-01
-2.6987784000e-01, 5.9355153311e+00, 3.3463606867e-01
-2.6984416000e-01, 5.9233023366e+00, 3.3463606867e-01
-2.6981048000e-01, 5.9233023366e+00, 3.3463606867e-01
-2.6977680000e-01, 5.9233023366e+00, 3.3707866771e-01
-2.6974312000e-01, 5.9233023366e+00, 3.3463606867e-01
